"setting.idx","metric","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5"
18,"True.Tox",0.08,0.12,0.18,0.25,0.35
18,"True.Eff",0.38,0.38,0.39,0.4,0.4
18,"True.Utility",0.33,0.3,0.27,0.23,0.17
13,"True.Tox",0.02,0.06,0.1,0.25,0.35
13,"True.Eff",0.05,0.1,0.35,0.36,0.37
13,"True.Utility",0.04,0.06,0.28,0.19,0.14
26,"True.Tox",0.02,0.06,0.1,0.22,0.35
26,"True.Eff",0.05,0.1,0.15,0.38,0.4
26,"True.Utility",0.04,0.06,0.08,0.23,0.17
20,"True.Tox",0.05,0.08,0.15,0.18,0.25
20,"True.Eff",0.15,0.38,0.38,0.39,0.4
20,"True.Utility",0.12,0.33,0.28,0.27,0.23
27,"True.Tox",0.05,0.15,0.25,0.35,0.4
27,"True.Eff",0.35,0.35,0.36,0.37,0.37
27,"True.Utility",0.32,0.25,0.19,0.14,0.1
31,"True.Tox",0.15,0.25,0.35,0.4,0.45
31,"True.Eff",0.35,0.35,0.36,0.37,0.37
31,"True.Utility",0.25,0.18,0.13,0.1,0.07
24,"True.Tox",0.01,0.03,0.06,0.1,0.25
24,"True.Eff",0.05,0.1,0.15,0.35,0.36
24,"True.Utility",0.04,0.08,0.11,0.28,0.19
23,"True.Tox",0.02,0.06,0.1,0.25,0.35
23,"True.Eff",0.05,0.1,0.35,0.36,0.37
23,"True.Utility",0.04,0.06,0.28,0.19,0.14
28,"True.Tox",0.08,0.12,0.18,0.25,0.35
28,"True.Eff",0.38,0.38,0.39,0.4,0.4
28,"True.Utility",0.33,0.3,0.27,0.23,0.17
29,"True.Tox",0.02,0.06,0.18,0.25,0.35
29,"True.Eff",0.15,0.35,0.36,0.37,0.37
29,"True.Utility",0.14,0.31,0.24,0.2,0.14
30,"True.Tox",0.05,0.08,0.15,0.18,0.25
30,"True.Eff",0.15,0.38,0.38,0.39,0.4
30,"True.Utility",0.12,0.33,0.28,0.27,0.23
35,"True.Tox",0.05,0.12,0.22,0.35,0.4
35,"True.Eff",0.1,0.15,0.38,0.38,0.4
35,"True.Utility",0.07,0.07,0.23,0.15,0.13
32,"True.Tox",0.05,0.15,0.25,0.35,0.4
32,"True.Eff",0.15,0.35,0.36,0.37,0.37
32,"True.Utility",0.12,0.25,0.19,0.14,0.1
36,"True.Tox",0.02,0.06,0.1,0.22,0.35
36,"True.Eff",0.05,0.1,0.15,0.38,0.4
36,"True.Utility",0.04,0.06,0.08,0.23,0.17
37,"True.Tox",0.05,0.15,0.25,0.35,0.4
37,"True.Eff",0.35,0.35,0.36,0.37,0.37
37,"True.Utility",0.32,0.25,0.19,0.14,0.1
33,"True.Tox",0.02,0.06,0.1,0.25,0.35
33,"True.Eff",0.05,0.1,0.35,0.36,0.37
33,"True.Utility",0.04,0.06,0.28,0.19,0.14
34,"True.Tox",0.01,0.03,0.06,0.1,0.25
34,"True.Eff",0.05,0.1,0.15,0.35,0.36
34,"True.Utility",0.04,0.08,0.11,0.28,0.19
39,"True.Tox",0.02,0.06,0.18,0.25,0.35
39,"True.Eff",0.15,0.35,0.36,0.37,0.37
39,"True.Utility",0.14,0.31,0.24,0.2,0.14
38,"True.Tox",0.08,0.12,0.18,0.25,0.35
38,"True.Eff",0.38,0.38,0.39,0.4,0.4
38,"True.Utility",0.33,0.3,0.27,0.23,0.17
40,"True.Tox",0.05,0.08,0.15,0.18,0.25
40,"True.Eff",0.15,0.38,0.38,0.39,0.4
40,"True.Utility",0.12,0.33,0.28,0.27,0.23
