"setting.idx","method","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5","EN","EN.Overdose","DLT_pts","duration"
6,"bf.s1",4.64,7.33,10.16,9.7,4.22,36.05,4.22,0,51.48
6,"bf.s2",0,0,0,0,0,0,0,0,0
6,"bf.total",4.64,7.33,10.16,9.7,4.22,36.05,4.22,5.16,51.48
6,"ours1.s1",5.5,6.89,8.57,8.93,4.52,34.41,4.52,0,41.77
6,"ours1.s2",0.41,0.95,1.27,1.46,0.59,4.68,0.59,0,6.78
6,"ours1.total",5.91,7.85,9.83,10.4,5.11,39.09,5.11,4.93,48.55
6,"ours2.s1",5.63,7.09,8.81,8.91,4.32,34.75,4.32,0,42.73
6,"ours2.s2",0.33,0.73,1.09,1.4,0.55,4.1,0.55,0,6.04
6,"ours2.total",5.96,7.82,9.89,10.31,4.87,38.85,4.87,4.95,48.77
6,"ours3.s1",5.6,7.12,8.75,8.92,4.46,34.86,4.46,0,42.63
6,"ours3.s2",0,0,0,0,0,0,0,0,0
6,"ours3.total",5.6,7.12,8.75,8.92,4.46,34.86,4.46,4.88,42.63
6,"titeet",4,5.2,7.5,9.7,3.5,29.9,3.5,4.6,41.1
6,"tite12",4.4,5.2,5.8,7.6,4.1,27.1,4.1,4.1,36.77
6,"bfet",4.22,5.93,7.89,9.5,5.78,33.33,5.78,5.19,41.6
7,"ours0.s1",11.39,11.94,8.68,3.65,0.96,36.62,4.6,0,48.28
7,"ours0.s2",0.16,0.27,0.31,0.21,0.05,1,0.26,0,1.71
7,"ours0.total",11.55,12.21,9,3.86,1.01,37.62,4.87,6.18,49.99
7,"bf.s1",10.28,12.52,9.16,3.75,0.85,36.56,4.6,0,48.2
7,"bf.s2",0,0,0,0,0,0,0,0,0
7,"bf.total",10.28,12.52,9.16,3.75,0.85,36.56,4.6,6.33,48.2
7,"ours1.s1",9.97,10.57,8.17,3.66,1.04,33.41,4.7,0,39.42
7,"ours1.s2",1.32,1.19,0.65,0.35,0.07,3.57,0.42,0,5.37
7,"ours1.total",11.29,11.75,8.81,4.01,1.11,36.98,5.12,5.88,44.79
7,"ours2.s1",10.15,10.75,8.3,3.67,1.02,33.88,4.69,0,40.54
7,"ours2.s2",1.07,1.09,0.66,0.32,0.04,3.18,0.36,0,4.88
7,"ours2.total",11.22,11.84,8.96,3.99,1.06,37.06,5.05,5.9,45.42
7,"ours3.s1",10.16,10.81,8.36,3.65,1.05,34.04,4.7,0,40.5
7,"ours3.s2",0,0,0,0,0,0,0,0,0
7,"ours3.total",10.16,10.81,8.36,3.65,1.05,34.04,4.7,5.88,40.5
7,"titeet",11.2,10.3,5.8,2.1,0.6,30,2.7,4.6,38.22
7,"tite12",7.5,6.6,4.8,2.9,1.3,23.1,4.2,4.1,30.04
7,"bfet",8.75,10.67,9.1,4.72,1.64,34.88,6.36,6.48,39.6
4,"ours0.s1",5.63,7.03,8.11,10.61,8.48,39.87,-1,0,52.14
4,"ours0.s2",0.05,0.12,0.35,0.83,0.81,2.15,-1,0,3.54
4,"ours0.total",5.67,7.15,8.45,11.44,9.3,42.02,-1,3.9,55.69
4,"bf.s1",4.01,5.97,8.73,11.11,8.46,38.29,-1,0,52.39
4,"bf.s2",0,0,0,0,0,0,-1,0,0
4,"bf.total",4.01,5.97,8.73,11.11,8.46,38.29,-1,3.98,52.39
4,"ours1.s1",5.1,5.95,6.69,9.18,8.54,35.46,-1,0,42.16
4,"ours1.s2",0.38,1.01,1.76,2.01,0.92,6.07,-1,0,8.59
4,"ours1.total",5.48,6.96,8.44,11.19,9.46,41.53,-1,3.7,50.75
4,"ours2.s1",5.21,6.1,6.9,9.35,8.55,36.12,-1,0,43.19
4,"ours2.s2",0.32,0.83,1.46,1.9,0.94,5.45,-1,0,7.81
4,"ours2.total",5.53,6.93,8.36,11.26,9.49,41.57,-1,3.68,51
4,"ours3.s1",5.14,6.17,6.91,9.32,8.58,36.12,-1,0,43.12
4,"ours3.s2",0,0,0,0,0,0,-1,0,0
4,"ours3.total",5.14,6.17,6.91,9.32,8.58,36.12,-1,3.68,43.12
4,"titeet",3.5,4.2,5.3,10.1,6.9,30,-1,3.1,41.84
4,"tite12",3.7,4.3,5,8.4,5.7,27.1,-1,2.6,37.02
4,"bfet",3.89,5.11,6.38,8.62,9.78,33.78,-1,3.7,42.2
9,"ours0.s1",7.92,11.22,10.71,6.94,3.01,39.8,3.01,0,50.68
9,"ours0.s2",0.14,0.28,0.51,0.54,0.22,1.7,0.22,0,2.85
9,"ours0.total",8.06,11.51,11.22,7.48,3.22,41.5,3.22,5.51,53.52
9,"bf.s1",6.36,10.95,11.55,7.42,2.83,39.1,2.83,0,50.69
9,"bf.s2",0,0,0,0,0,0,0,0,0
9,"bf.total",6.36,10.95,11.55,7.42,2.83,39.1,2.83,5.69,50.69
9,"ours1.s1",6.54,9.53,9.61,6.62,3.14,35.44,3.14,0,41.16
9,"ours1.s2",1.03,1.62,1.39,0.89,0.27,5.2,0.27,0,7.42
9,"ours1.total",7.57,11.15,10.99,7.52,3.41,40.64,3.41,5.18,48.59
9,"ours2.s1",6.78,9.77,9.78,6.59,3.02,35.95,3.02,0,42.18
9,"ours2.s2",0.95,1.4,1.23,0.87,0.24,4.68,0.24,0,6.86
9,"ours2.total",7.73,11.17,11.02,7.46,3.26,40.63,3.26,5.16,49.04
9,"ours3.s1",6.7,9.79,9.76,6.67,3.15,36.06,3.15,0,42.2
9,"ours3.s2",0,0,0,0,0,0,0,0,0
9,"ours3.total",6.7,9.79,9.76,6.67,3.15,36.06,3.15,5.18,42.2
9,"titeet",4.5,10.7,8.7,4.5,1.6,30,1.6,4,39.76
9,"tite12",4.4,7.3,6.3,4.6,2.5,25.1,2.5,3.6,33.44
9,"bfet",5.66,9.38,10.35,7.61,4.24,37.23,4.24,5.79,43.1
3,"ours0.s1",6.01,7.78,11.13,9.06,3.74,37.71,3.74,0,51.39
3,"ours0.s2",0.03,0.15,0.59,0.85,0.33,1.95,0.33,0,3.14
3,"ours0.total",6.05,7.92,11.72,9.91,4.06,39.66,4.06,5.26,54.53
3,"bf.s1",4.66,7.39,11.19,9.57,3.64,36.44,3.64,0,51.27
3,"bf.s2",0,0,0,0,0,0,0,0,0
3,"bf.total",4.66,7.39,11.19,9.57,3.64,36.44,3.64,5.32,51.27
3,"ours1.s1",5.48,6.72,9.78,8.49,3.97,34.44,3.97,0,41.54
3,"ours1.s2",0.41,1.05,1.73,1.29,0.36,4.84,0.36,0,7.02
3,"ours1.total",5.88,7.76,11.51,9.79,4.33,39.28,4.33,5,48.57
3,"ours2.s1",5.55,6.88,10.02,8.59,3.89,34.93,3.89,0,42.59
3,"ours2.s2",0.33,0.85,1.48,1.32,0.39,4.36,0.39,0,6.37
3,"ours2.total",5.88,7.73,11.5,9.91,4.28,39.29,4.28,5.03,48.96
3,"ours3.s1",5.54,6.93,9.98,8.64,3.94,35.02,3.94,0,42.5
3,"ours3.s2",0,0,0,0,0,0,0,0,0
3,"ours3.total",5.54,6.93,9.98,8.64,3.94,35.02,3.94,4.99,42.5
3,"titeet",4,5.2,11.1,7.1,2.6,30,2.6,4.2,40.6
3,"tite12",4,4.7,8.1,6.3,3.3,26.4,3.3,3.9,35.72
3,"bfet",4.22,5.81,9.71,9.34,5.13,34.21,5.13,5.36,41.9
21,"ours0.s1",13.92,11,4.3,0.84,0.1,30.18,5.25,0,26.62
21,"ours0.s2",0,0.05,0.08,0.05,0.01,0.19,0.13,0,0.17
21,"ours0.total",13.93,11.06,4.38,0.89,0.11,30.36,5.38,6.74,26.79
21,"bf.s1",13.63,11.27,4.45,0.88,0.1,30.33,5.43,0,26.68
21,"bf.s2",0,0,0,0,0,0,0,0,0
21,"bf.total",13.63,11.27,4.45,0.88,0.1,30.33,5.43,6.78,26.68
21,"ours1.s1",13.71,10.96,4.52,1.02,0.15,30.36,5.69,0,21.41
21,"ours1.s2",0.01,0.04,0.17,0.07,0.01,0.3,0.25,0,0.27
21,"ours1.total",13.71,11.01,4.68,1.09,0.17,30.66,5.94,6.86,21.67
21,"ours2.s1",13.68,10.96,4.62,1.04,0.17,30.46,5.83,0,21.85
21,"ours2.s2",0.01,0.04,0.12,0.08,0.01,0.25,0.21,0,0.23
21,"ours2.total",13.68,10.99,4.75,1.11,0.18,30.71,6.03,6.86,22.08
21,"ours3.s1",13.76,10.98,4.49,0.97,0.15,30.36,5.61,0,21.76
21,"ours3.s2",0,0,0,0,0,0,0,0,0
21,"ours3.total",13.76,10.98,4.49,0.97,0.15,30.36,5.61,6.82,21.76
21,"titeet",15.8,9.3,3.6,0.9,0.2,29.8,4.7,6.5,20.78
21,"tite12",8.4,6.5,4.1,2.3,1,22.3,7.4,5.7,17.88
21,"bfet",12.35,10.12,4.39,1.2,0.23,28.29,5.82,6.04,16.9
8,"ours0.s1",11.17,10.69,8.94,5.66,2.52,38.98,2.52,0,49.73
8,"ours0.s2",0.16,0.32,0.52,0.52,0.15,1.66,0.15,0,2.74
8,"ours0.total",11.32,11.02,9.45,6.18,2.66,40.64,2.66,6.02,52.47
8,"bf.s1",9.7,11.12,9.79,5.96,2.28,38.86,2.28,0,49.55
8,"bf.s2",0,0,0,0,0,0,0,0,0
8,"bf.total",9.7,11.12,9.79,5.96,2.28,38.86,2.28,6.12,49.55
8,"ours1.s1",9.59,9.07,7.91,5.37,2.52,34.45,2.52,0,40.31
8,"ours1.s2",1.2,1.42,1.18,0.78,0.2,4.79,0.2,0,6.88
8,"ours1.total",10.79,10.49,9.09,6.15,2.72,39.25,2.72,5.54,47.2
8,"ours2.s1",9.78,9.32,8.05,5.3,2.33,34.78,2.33,0,41.05
8,"ours2.s2",1.06,1.31,1.09,0.7,0.18,4.34,0.18,0,6.35
8,"ours2.total",10.84,10.64,9.14,6,2.51,39.13,2.51,5.52,47.39
8,"ours3.s1",9.8,9.32,8.1,5.34,2.51,35.07,2.51,0,41.27
8,"ours3.s2",0,0,0,0,0,0,0,0,0
8,"ours3.total",9.8,9.32,8.1,5.34,2.51,35.07,2.51,5.53,41.27
8,"titeet",12.1,9.2,5.6,2.4,0.7,30,0.7,3.9,38.12
8,"tite12",7,6.2,4.7,3.4,1.6,22.9,1.6,3.6,30.07
8,"bfet",9.09,9.96,9.16,6.58,3.56,38.36,3.56,6.28,43.1
15,"ours0.s1",8.58,11.39,10.77,4.66,1.01,36.4,5.66,0,35.74
15,"ours0.s2",0,0.02,0.34,0.39,0.1,0.85,0.49,0,0.94
15,"ours0.total",8.58,11.41,11.1,5.05,1.11,37.26,6.16,6.22,36.68
15,"bf.s1",7.6,11.65,10.96,4.94,1.02,36.17,5.96,0,35.88
15,"bf.s2",0,0,0,0,0,0,0,0,0
15,"bf.total",7.6,11.65,10.96,4.94,1.02,36.17,5.96,6.28,35.88
15,"ours1.s1",8.3,10.92,10.59,4.87,1.19,35.86,6.06,0,28.43
15,"ours1.s2",0.05,0.16,0.46,0.53,0.13,1.32,0.65,0,1.45
15,"ours1.total",8.35,11.08,11.05,5.4,1.32,37.18,6.71,6.22,29.88
15,"ours2.s1",8.47,11.02,10.53,4.66,1.09,35.76,5.74,0,29.04
15,"ours2.s2",0.03,0.1,0.51,0.48,0.13,1.25,0.61,0,1.36
15,"ours2.total",8.5,11.12,11.04,5.13,1.22,37.01,6.35,6.17,30.4
15,"ours3.s1",8.39,11.03,10.55,4.87,1.13,35.97,6,0,29.11
15,"ours3.s2",0,0,0,0,0,0,0,0,0
15,"ours3.total",8.39,11.03,10.55,4.87,1.13,35.97,6,6.2,29.11
15,"titeet",5.7,8.4,10.6,4,1,29.7,5,5.5,27.16
15,"tite12",5.3,6.1,7.4,4.7,2.2,25.7,6.9,5.2,24.33
15,"bfet",6.4,8.7,10.16,5.34,1.55,32.14,6.89,5.83,25
10,"ours0.s1",8.1,10.86,9.74,7.23,4.68,40.62,-1,0,51.36
10,"ours0.s2",0.08,0.29,0.67,0.79,0.4,2.24,-1,0,3.57
10,"ours0.total",8.18,11.15,10.42,8.02,5.08,42.85,-1,5.17,54.93
10,"bf.s1",6.77,10.18,10.42,8.05,4.65,40.06,-1,0,51.35
10,"bf.s2",0,0,0,0,0,0,-1,0,0
10,"bf.total",6.77,10.18,10.42,8.05,4.65,40.06,-1,5.31,51.35
10,"ours1.s1",6.83,9.08,8.32,6.4,4.78,35.41,-1,0,41.4
10,"ours1.s2",0.72,1.56,1.65,1.45,0.48,5.87,-1,0,8.22
10,"ours1.total",7.55,10.65,9.97,7.85,5.25,41.28,-1,4.63,49.62
10,"ours2.s1",7.07,9.48,8.46,6.47,4.66,36.14,-1,0,42.52
10,"ours2.s2",0.53,1.3,1.58,1.37,0.47,5.25,-1,0,7.59
10,"ours2.total",7.6,10.79,10.04,7.84,5.13,41.39,-1,4.73,50.11
10,"ours3.s1",7.04,9.46,8.51,6.45,4.7,36.14,-1,0,42.42
10,"ours3.s2",0,0,0,0,0,0,-1,0,0
10,"ours3.total",7.04,9.46,8.51,6.45,4.7,36.14,-1,4.72,42.42
10,"titeet",5.1,11.2,7.7,4.1,1.8,29.9,-1,3.5,39.64
10,"tite12",4.2,7,6.1,4.8,2.9,25,-1,3.3,33.45
10,"bfet",6,9.22,9.34,7.39,6.16,38.11,-1,5.14,43.9
12,"ours0.s1",9.96,13.15,9.54,3.61,0.83,37.09,4.44,0,35.2
12,"ours0.s2",0,0.02,0.27,0.26,0.07,0.63,0.33,0,0.69
12,"ours0.total",9.96,13.17,9.82,3.88,0.9,37.72,4.77,6.41,35.89
12,"bf.s1",9.07,13.23,9.83,3.84,0.77,36.74,4.62,0,35.29
12,"bf.s2",0,0,0,0,0,0,0,0,0
12,"bf.total",9.07,13.23,9.83,3.84,0.77,36.74,4.62,6.51,35.29
12,"ours1.s1",9.66,12.66,9.29,3.85,0.95,36.41,4.81,0,28.17
12,"ours1.s2",0.08,0.14,0.41,0.36,0.12,1.13,0.49,0,1.23
12,"ours1.total",9.74,12.8,9.7,4.22,1.07,37.54,5.29,6.41,29.41
12,"ours2.s1",9.7,12.72,9.37,3.73,0.87,36.39,4.6,0,28.66
12,"ours2.s2",0.07,0.11,0.41,0.35,0.07,1,0.42,0,1.13
12,"ours2.total",9.77,12.83,9.77,4.08,0.94,37.39,5.02,6.36,29.79
12,"ours3.s1",9.64,12.75,9.39,3.82,0.89,36.49,4.71,0,28.75
12,"ours3.s2",0,0,0,0,0,0,0,0,0
12,"ours3.total",9.64,12.75,9.39,3.82,0.89,36.49,4.71,6.4,28.75
12,"titeet",6.6,12.3,7.4,2.9,0.7,29.9,3.6,5.3,26.54
12,"tite12",5.5,7.7,6,3.8,1.8,24.8,5.6,5,23.27
12,"bfet",7.33,11.22,8.99,4.11,1.22,32.88,5.33,5.95,24.1
16,"ours0.s1",6.18,8.28,10.58,10.17,4.23,39.46,4.23,0,38.03
16,"ours0.s2",0,0,0.15,0.81,0.52,1.48,0.52,0,1.58
16,"ours0.total",6.18,8.29,10.74,10.98,4.75,40.94,4.75,5.38,39.62
16,"bf.s1",5.08,8.06,11.01,10.36,4.15,38.67,4.15,0,37.9
16,"bf.s2",0,0,0,0,0,0,0,0,0
16,"bf.total",5.08,8.06,11.01,10.36,4.15,38.67,4.15,5.41,37.9
16,"ours1.s1",6.1,8.15,10.15,9.72,4.45,38.58,4.45,0,30.4
16,"ours1.s2",0.02,0.1,0.4,1.1,0.7,2.33,0.7,0,2.44
16,"ours1.total",6.13,8.26,10.56,10.82,5.15,40.91,5.15,5.31,32.84
16,"ours2.s1",6.14,8.18,10.2,9.8,4.33,38.64,4.33,0,30.96
16,"ours2.s2",0.01,0.08,0.31,1,0.62,2.03,0.62,0,2.15
16,"ours2.total",6.15,8.25,10.51,10.81,4.95,40.67,4.95,5.33,33.12
16,"ours3.s1",6.12,8.06,10.18,9.84,4.41,38.61,4.41,0,30.91
16,"ours3.s2",0,0,0,0,0,0,0,0,0
16,"ours3.total",6.12,8.06,10.18,9.84,4.41,38.61,4.41,5.28,30.91
16,"titeet",4.1,5.4,7.4,9.5,3.5,29.9,3.5,4.4,29.03
16,"tite12",4.3,5.1,5.7,7.6,4.5,27.2,4.5,4.3,26.7
16,"bfet",4.54,6.43,8.4,9.9,5.21,34.48,5.21,5.12,28
17,"ours0.s1",11.94,13.11,9.45,3.67,0.83,39.01,4.5,0,35.25
17,"ours0.s2",0,0.02,0.2,0.2,0.07,0.49,0.27,0,0.52
17,"ours0.total",11.95,13.13,9.65,3.87,0.89,39.49,4.77,6.55,35.77
17,"bf.s1",11.31,13.54,9.9,3.83,0.77,39.35,4.6,0,35.36
17,"bf.s2",0,0,0,0,0,0,0,0,0
17,"bf.total",11.31,13.54,9.9,3.83,0.77,39.35,4.6,6.67,35.36
17,"ours1.s1",11.58,12.63,9.39,3.75,0.93,38.27,4.67,0,28.25
17,"ours1.s2",0.11,0.16,0.33,0.26,0.08,0.93,0.34,0,1.08
17,"ours1.total",11.69,12.79,9.72,4,1,39.2,5.01,6.52,29.33
17,"ours2.s1",11.66,12.46,9.27,3.9,0.97,38.26,4.87,0,28.86
17,"ours2.s2",0.07,0.16,0.33,0.27,0.07,0.9,0.34,0,1.05
17,"ours2.total",11.73,12.61,9.6,4.17,1.04,39.16,5.21,6.49,29.9
17,"ours3.s1",11.63,12.6,9.35,3.82,0.87,38.28,4.7,0,28.79
17,"ours3.s2",0,0,0,0,0,0,0,0,0
17,"ours3.total",11.63,12.6,9.35,3.82,0.87,38.28,4.7,6.48,28.79
17,"titeet",11,10.2,6,2.2,0.6,30,2.8,4.5,25.83
17,"tite12",7.2,6.6,4.8,3.1,1.4,23.1,4.5,4.3,21.51
17,"bfet",10.02,11.48,8.97,4.15,1.24,35.86,5.39,6.15,24.4
25,"ours0.s1",8.69,11.66,11.28,4.79,0.9,37.32,5.69,0,31.48
25,"ours0.s2",0,0.02,0.28,0.37,0.09,0.76,0.46,0,0.71
25,"ours0.total",8.69,11.69,11.57,5.16,0.99,38.09,6.14,6.41,32.19
25,"bf.s1",7.69,11.91,11.42,5.1,1,37.12,6.1,0,31.58
25,"bf.s2",0,0,0,0,0,0,0,0,0
25,"bf.total",7.69,11.91,11.42,5.1,1,37.12,6.1,6.46,31.58
25,"ours1.s1",8.54,11.45,11.34,5.01,1.05,37.38,6.05,0,24.94
25,"ours1.s2",0.01,0.03,0.3,0.5,0.12,0.97,0.62,0,0.85
25,"ours1.total",8.54,11.48,11.65,5.51,1.17,38.34,6.67,6.49,25.79
25,"ours2.s1",8.64,11.55,11.26,4.89,1.03,37.37,5.92,0,25.5
25,"ours2.s2",0,0.03,0.33,0.47,0.16,0.99,0.63,0,0.87
25,"ours2.total",8.64,11.57,11.59,5.36,1.19,38.36,6.55,6.44,26.37
25,"ours3.s1",8.52,11.42,11.23,5.03,1.1,37.31,6.13,0,25.53
25,"ours3.s2",0,0,0,0,0,0,0,0,0
25,"ours3.total",8.52,11.42,11.23,5.03,1.1,37.31,6.13,6.41,25.53
25,"titeet",5.9,8.6,10.4,4,0.9,29.8,4.9,5.4,23.38
25,"tite12",5.1,5.9,7.5,5.1,2.5,26.1,7.6,5.4,21.94
25,"bfet",6.77,9.26,10.29,5.02,1.28,32.62,6.3,5.65,21.1
14,"ours0.s1",5.82,7.48,9.02,11.75,8.55,42.62,-1,0,38.57
14,"ours0.s2",0,0,0.04,0.44,0.78,1.26,-1,0,1.37
14,"ours0.total",5.82,7.48,9.06,12.19,9.33,43.89,-1,4.12,39.94
14,"bf.s1",4.6,7.19,9.67,12.02,8.43,41.91,-1,0,38.67
14,"bf.s2",0,0,0,0,0,0,-1,0,0
14,"bf.total",4.6,7.19,9.67,12.02,8.43,41.91,-1,4.15,38.67
14,"ours1.s1",5.74,7.21,8.51,10.97,8.73,41.16,-1,0,31.17
14,"ours1.s2",0.02,0.11,0.35,0.83,0.96,2.27,-1,0,2.43
14,"ours1.total",5.76,7.32,8.86,11.8,9.69,43.43,-1,4.03,33.6
14,"ours2.s1",5.77,7.37,8.75,11.11,8.61,41.62,-1,0,31.85
14,"ours2.s2",0.02,0.06,0.25,0.77,0.97,2.07,-1,0,2.25
14,"ours2.total",5.79,7.43,9,11.88,9.58,43.68,-1,4.04,34.1
14,"ours3.s1",5.72,7.36,8.66,11.03,8.66,41.44,-1,0,31.83
14,"ours3.s2",0,0,0,0,0,0,-1,0,0
14,"ours3.total",5.72,7.36,8.66,11.03,8.66,41.44,-1,4.06,31.83
14,"titeet",3.5,4.3,5.5,10,6.7,30,-1,3.1,29.96
14,"tite12",3.6,4.2,5.1,8.5,5.8,27.2,-1,2.6,27.05
14,"bfet",4.18,5.64,7.05,10.08,9.49,36.44,-1,3.78,29.3
19,"ours0.s1",8.43,12.23,12.07,7.65,2.81,43.18,2.81,0,37.23
19,"ours0.s2",0,0.01,0.14,0.41,0.22,0.77,0.22,0,0.83
19,"ours0.total",8.43,12.24,12.21,8.06,3.03,43.96,3.03,5.91,38.05
19,"bf.s1",7.26,12.2,12.43,7.83,2.75,42.48,2.75,0,37.03
19,"bf.s2",0,0,0,0,0,0,0,0,0
19,"bf.total",7.26,12.2,12.43,7.83,2.75,42.48,2.75,5.98,37.03
19,"ours1.s1",8.17,11.69,11.42,7.43,2.94,41.64,2.94,0,29.82
19,"ours1.s2",0.1,0.23,0.4,0.64,0.27,1.64,0.27,0,1.79
19,"ours1.total",8.27,11.92,11.82,8.07,3.21,43.28,3.21,5.82,31.61
