"setting.idx","method","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5","early.stop"
11,"MTD.ours2",35.74,45.9,14.44,2.38,0.44,1.1
11,"OBD.ours2",67.28,25.6,4.7,0.56,0.14,
11,"MTD.ours3",35.06,47.4,13,2.88,0.44,1.22
11,"OBD.ours3",66.4,25.26,5.08,1.18,0.18,
11,"MTD.titeet",35.7,45.8,14.4,3,0.4,1.3
11,"OBD.titeet",61.2,25.3,9.2,2.4,0.5,
11,"MTD.tite12",14.4,39.5,27.3,11.1,4.5,3.08
11,"OBD.tite12",57,25.8,10,3.3,0.8,
11,"MTD.bfet",,,,,,1.7
11,"OBD.bfet",72,21.3,4.2,0.6,0,
1,"MTD.ours0",37.12,45.94,13.48,1.84,0.36,1.26
1,"OBD.ours0",72.62,21.94,3.26,0.38,0.02,
1,"MTD.bf",35.82,46.38,14.04,2.12,0.32,1.32
1,"OBD.bf",71.84,21.34,4.52,0.5,0.16,
1,"MTD.ours1",36.04,45.78,13.78,2.78,0.34,1.28
1,"OBD.ours1",72.52,21.38,3.62,0.66,0,
1,"MTD.ours2",35.72,45.7,14.48,2.74,0.28,1.08
1,"OBD.ours2",72.82,21.64,3.26,0.6,0.06,
1,"MTD.ours3",35.1,47.38,12.92,2.96,0.4,1.24
1,"OBD.ours3",72.1,20.72,3.94,1.16,0.16,
1,"MTD.titeet",35.7,45.8,14.4,3,0.4,1.3
1,"OBD.titeet",61.2,25.3,9.2,2.4,0.5,
1,"MTD.tite12",14.4,39.5,27.3,11.1,4.5,3.08
1,"OBD.tite12",57,25.8,10,3.3,0.8,
1,"MTD.bfet",,,,,,1.7
1,"OBD.bfet",72,21.3,4.2,0.6,0,
25,"MTD.ours0",1.76,21.86,53.04,19.9,3.4,0.04
25,"OBD.ours0",9.62,17.38,57.46,10.28,1.32,
25,"MTD.bf",1.34,22.34,52.8,19.88,3.64,0
25,"OBD.bf",9.06,19.46,57.6,10.2,1.24,
25,"MTD.ours1",1.96,22.26,51.82,20.62,3.34,0
25,"OBD.ours1",10.38,17.02,56.12,10.9,1.56,
25,"MTD.ours2",2.12,22.26,52.52,19.46,3.62,0.02
25,"OBD.ours2",10.48,16.8,56.66,10.1,1.66,
25,"MTD.ours3",1.48,22.14,51.6,20.44,4.34,0
25,"OBD.ours3",9.62,17.74,54.6,12.46,1.7,
25,"MTD.titeet",1.1,20.7,55,20,3.2,2.4
25,"OBD.titeet",19,15.9,45,14,3.6,
25,"MTD.tite12",0.6,11.8,39.3,29.4,16.9,2.04
25,"OBD.tite12",18.2,18.4,43.7,13.3,4.4,
25,"MTD.bfet",,,,,,3
25,"OBD.bfet",18.1,21,48.5,8,1.3,
45,"MTD.ours0",2,21.72,52.1,20.8,3.38,0
45,"OBD.ours0",30.7,32.78,29.74,2.46,0.38,
45,"MTD.bf",1.34,22.34,52.8,19.88,3.64,0
45,"OBD.bf",54.34,24.08,15.62,2.88,0.64,
45,"MTD.ours1",1.84,21.28,53.44,19.8,3.62,0.02
45,"OBD.ours1",29.48,33.82,29.16,2.66,0.28,
45,"MTD.ours2",2.1,21.08,53.28,19.58,3.94,0.02
45,"OBD.ours2",30.68,34.06,28.46,2.46,0.32,
45,"MTD.ours3",1.5,22.3,51.42,20.34,4.44,0
45,"OBD.ours3",28.06,33.8,29.86,3.72,0.68,
45,"MTD.titeet",1.1,20.7,55,20,3.2,2.4
45,"OBD.titeet",19,15.9,45,14,3.6,
45,"MTD.tite12",0.6,11.8,39.3,29.4,16.9,2.04
45,"OBD.tite12",18.2,18.4,43.7,13.3,4.4,
45,"MTD.bfet",,,,,,3
45,"OBD.bfet",18.1,21,48.5,8,1.3,
35,"MTD.ours0",1.8,23.44,51.44,19.64,3.68,0
35,"OBD.ours0",22.36,27.72,40.94,4.18,0.46,
35,"MTD.bf",1.34,22.34,52.8,19.88,3.64,0
35,"OBD.bf",28.8,25.06,37.16,5.64,0.9,
35,"MTD.ours1",1.66,21.18,52.72,20.88,3.52,0.04
35,"OBD.ours1",22.88,26.58,41.14,4.76,0.58,
35,"MTD.ours2",2.16,21.3,53,19.32,4.1,0.12
35,"OBD.ours2",23.56,25.56,41.62,4.04,0.7,
35,"MTD.ours3",1.5,22.2,51.6,20.24,4.46,0
35,"OBD.ours3",21.54,26.98,40.44,6,1.18,
35,"MTD.titeet",1.1,20.7,55,20,3.2,2.4
35,"OBD.titeet",19,15.9,45,14,3.6,
35,"MTD.tite12",0.6,11.8,39.3,29.4,16.9,2.04
35,"OBD.tite12",18.2,18.4,43.7,13.3,4.4,
35,"MTD.bfet",,,,,,3
35,"OBD.bfet",18.1,21,48.5,8,1.3,
15,"MTD.ours0",1.84,22.1,53.32,19.36,3.3,0.08
15,"OBD.ours0",11.12,18.2,56.24,9.26,1.02,
15,"MTD.bf",1.34,22.34,52.8,19.88,3.64,0
15,"OBD.bf",10.52,19.52,56.48,9.68,1.36,
15,"MTD.ours1",2.06,22.48,51.72,20.06,3.66,0.02
15,"OBD.ours1",11.8,17.92,55.44,9.52,1.24,
15,"MTD.ours2",2.06,22.04,52.7,19.58,3.58,0.04
15,"OBD.ours2",12.26,16.78,56.02,9.34,1.34,
15,"MTD.ours3",1.48,22.24,51.44,20.4,4.44,0
15,"OBD.ours3",11.16,18.04,53.86,11.22,1.84,
15,"MTD.titeet",1.1,20.7,55,20,3.2,2.4
15,"OBD.titeet",19,15.9,45,14,3.6,
15,"MTD.tite12",0.6,11.8,39.3,29.4,16.9,2.04
15,"OBD.tite12",18.2,18.4,43.7,13.3,4.4,
15,"MTD.bfet",,,,,,3
15,"OBD.bfet",18.1,21,48.5,8,1.3,
5,"MTD.ours0",1.88,23.06,52.76,19.16,3.1,0.04
5,"OBD.ours0",15.34,20.88,51.98,6.42,0.78,
5,"MTD.bf",1.34,22.34,52.8,19.88,3.64,0
5,"OBD.bf",15.56,21.26,51.34,8.14,1.26,
5,"MTD.ours1",1.82,21.94,52.52,20.26,3.4,0.06
5,"OBD.ours1",15.44,20.04,51.76,7.4,1,
5,"MTD.ours2",1.9,21.72,53.36,19.02,3.94,0.06
5,"OBD.ours2",16.08,20.62,51.06,7.02,1.24,
5,"MTD.ours3",1.48,22.32,51.48,20.34,4.38,0
5,"OBD.ours3",15.06,20.66,50.34,8.5,1.56,
5,"MTD.titeet",1.1,20.7,55,20,3.2,2.4
5,"OBD.titeet",19,15.9,45,14,3.6,
5,"MTD.tite12",0.6,11.8,39.3,29.4,16.9,2.04
5,"OBD.tite12",18.2,18.4,43.7,13.3,4.4,
5,"MTD.bfet",,,,,,3
5,"OBD.bfet",18.1,21,48.5,8,1.3,
42,"MTD.ours0",2.92,35.56,44.24,14.34,2.94,0
42,"OBD.ours0",39.04,48.78,9.78,1.1,0.14,
42,"MTD.bf",2.48,34.28,45.52,14.58,3.14,0
42,"OBD.bf",53.78,35.56,7.34,2.34,0.38,
42,"MTD.ours1",2.52,33.62,46.14,14.56,3.14,0.02
42,"OBD.ours1",38.72,49.26,9.66,1.3,0.12,
42,"MTD.ours2",2.68,34.18,45.64,14.36,3.1,0.04
42,"OBD.ours2",38.74,48.26,10.62,1.26,0.16,
42,"MTD.ours3",2.36,34.36,45.06,14.66,3.56,0
42,"OBD.ours3",38.82,46.88,10.92,1.98,0.36,
42,"MTD.titeet",1.8,41.4,41,12.9,2.9,1.7
42,"OBD.titeet",21,47.1,20.6,7.7,1.9,
42,"MTD.tite12",0.8,21.1,36.9,26.1,13.5,1.58
42,"OBD.tite12",19.8,44.9,22.7,8.4,2.7,
42,"MTD.bfet",,,,,,1.1
42,"OBD.bfet",18.2,55.9,20.2,4,0.5,
22,"MTD.ours0",3.32,35.26,44.66,13.96,2.78,0.02
22,"OBD.ours0",8.14,58.14,26.74,5.44,0.52,
22,"MTD.bf",2.48,34.28,45.52,14.58,3.14,0
22,"OBD.bf",7.56,57.52,28.08,5.36,0.88,
22,"MTD.ours1",3.16,33.9,45.88,14.24,2.8,0.02
22,"OBD.ours1",8.68,56.72,26.52,6.22,0.7,
22,"MTD.ours2",2.94,34.3,45,14.94,2.78,0.04
22,"OBD.ours2",9.26,54.34,28.14,6.36,0.74,
22,"MTD.ours3",2.38,34.36,44.98,14.64,3.64,0
22,"OBD.ours3",8.32,54.86,27.64,6.92,1.24,
22,"MTD.titeet",1.8,41.4,41,12.9,2.9,1.7
22,"OBD.titeet",21,47.1,20.6,7.7,1.9,
22,"MTD.tite12",0.8,21.1,36.9,26.1,13.5,1.58
22,"OBD.tite12",19.8,44.9,22.7,8.4,2.7,
22,"MTD.bfet",,,,,,1.1
22,"OBD.bfet",18.2,55.9,20.2,4,0.5,
2,"MTD.ours0",3.04,35.54,44.1,14.44,2.84,0.04
2,"OBD.ours0",16.64,59.46,19.12,3.4,0.52,
2,"MTD.bf",2.48,34.28,45.52,14.58,3.14,0
2,"OBD.bf",14.36,58.44,21.34,4.42,0.84,
2,"MTD.ours1",3.08,33.5,44.96,15.06,3.36,0.04
2,"OBD.ours1",17.36,57.92,19.58,3.52,0.7,
2,"MTD.ours2",3.16,34.3,44.76,14.48,3.24,0.06
2,"OBD.ours2",17.08,57.7,20.16,3.46,0.6,
2,"MTD.ours3",2.36,34.46,44.94,14.62,3.62,0
2,"OBD.ours3",16.52,55.68,21.12,4.72,0.94,
2,"MTD.titeet",1.8,41.4,41,12.9,2.9,1.7
2,"OBD.titeet",21,47.1,20.6,7.7,1.9,
2,"MTD.tite12",0.8,21.1,36.9,26.1,13.5,1.58
2,"OBD.tite12",19.8,44.9,22.7,8.4,2.7,
2,"MTD.bfet",,,,,,1.1
2,"OBD.bfet",18.2,55.9,20.2,4,0.5,
46,"MTD.ours0",0.26,2.22,18.48,55.8,23.24,0
46,"OBD.ours0",14.32,23.6,30.66,25.88,2.4,
46,"MTD.bf",0.14,2.38,18.62,56,22.86,0
46,"OBD.bf",47.76,17.9,17.96,12.82,2.5,
46,"MTD.ours1",0.18,2.16,18.98,55.32,23.36,0
46,"OBD.ours1",13.56,23.66,31.48,26.14,2.16,
46,"MTD.ours2",0.16,2.26,18.88,54.48,24.22,0
46,"OBD.ours2",13.58,24.58,30.48,25.64,2.84,
46,"MTD.ours3",0.12,1.92,17.2,56.7,24.06,0
46,"OBD.ours3",12.52,23.26,31.72,26.4,3.22,
46,"MTD.titeet",0.1,2.1,20.6,57.5,19.6,0.8
46,"OBD.titeet",12.3,16.1,16.7,40.6,13.5,
46,"MTD.tite12",0,1.7,14.4,39.8,43,1.04
46,"OBD.tite12",12.1,14.9,16.7,41.7,13.5,
46,"MTD.bfet",,,,,,1.2
46,"OBD.bfet",9.9,12.1,17.6,50.2,9,
12,"MTD.ours0",3.02,36.14,43.88,14.22,2.72,0.02
12,"OBD.ours0",10.34,59.06,24.42,4.86,0.44,
12,"MTD.bf",2.48,34.28,45.52,14.58,3.14,0
12,"OBD.bf",8.86,58.18,26.34,5.12,0.9,
12,"MTD.ours1",2.94,33.76,45.36,14.96,2.96,0.02
12,"OBD.ours1",11.1,57.22,24.5,5.5,0.6,
12,"MTD.ours2",2.78,34.76,45.1,14.56,2.76,0.04
12,"OBD.ours2",10.82,57.78,24.92,4.66,0.62,
12,"MTD.ours3",2.38,34.36,44.92,14.76,3.58,0
12,"OBD.ours3",10.5,55.82,25.4,6.1,1.16,
12,"MTD.titeet",1.8,41.4,41,12.9,2.9,1.7
12,"OBD.titeet",21,47.1,20.6,7.7,1.9,
12,"MTD.tite12",0.8,21.1,36.9,26.1,13.5,1.58
12,"OBD.tite12",19.8,44.9,22.7,8.4,2.7,
12,"MTD.bfet",,,,,,1.1
12,"OBD.bfet",18.2,55.9,20.2,4,0.5,
32,"MTD.ours0",3.2,35.68,44.46,13.88,2.78,0
32,"OBD.ours0",28.24,55.02,13.58,1.9,0.2,
32,"MTD.bf",2.48,34.28,45.52,14.58,3.14,0
32,"OBD.bf",27.6,53,14.52,3.76,0.52,
32,"MTD.ours1",2.82,35.22,45.12,14.24,2.6,0
32,"OBD.ours1",29.06,52.88,14.6,2.06,0.42,
32,"MTD.ours2",3.18,36.06,43.14,14.56,3.02,0.04
32,"OBD.ours2",28.8,52.24,15.32,2.08,0.32,
32,"MTD.ours3",2.34,34.3,45.24,14.5,3.62,0
32,"OBD.ours3",27.08,52.42,15.64,3.24,0.6,
32,"MTD.titeet",1.8,41.4,41,12.9,2.9,1.7
32,"OBD.titeet",21,47.1,20.6,7.7,1.9,
32,"MTD.tite12",0.8,21.1,36.9,26.1,13.5,1.58
32,"OBD.tite12",19.8,44.9,22.7,8.4,2.7,
32,"MTD.bfet",,,,,,1.1
32,"OBD.bfet",18.2,55.9,20.2,4,0.5,
26,"MTD.ours0",0.06,2.74,17.8,56.72,22.68,0
26,"OBD.ours0",2.7,8.08,14.84,59.84,11.22,
26,"MTD.bf",0.14,2.38,18.62,56,22.86,0
26,"OBD.bf",3.86,8.04,17.28,58.96,10.8,
26,"MTD.ours1",0.04,2.26,17.24,55.24,25.22,0
26,"OBD.ours1",2.78,7.94,13.58,59.96,13.18,
26,"MTD.ours2",0.18,2.44,19.08,54.5,23.8,0
26,"OBD.ours2",3.08,8.4,14.26,58.7,12.2,
26,"MTD.ours3",0.12,1.94,17.22,56.86,23.86,0
26,"OBD.ours3",2.98,7.46,13.56,59.7,13.4,
26,"MTD.titeet",0.1,2.1,20.6,57.5,19.6,0.8
26,"OBD.titeet",12.3,16.1,16.7,40.6,13.5,
26,"MTD.tite12",0,1.7,14.4,39.8,43,1.04
26,"OBD.tite12",12.1,14.9,16.7,41.7,13.5,
26,"MTD.bfet",,,,,,1.2
26,"OBD.bfet",9.9,12.1,17.6,50.2,9,
36,"MTD.ours0",0.12,2.16,18.06,56.8,22.86,0
36,"OBD.ours0",8.66,17.86,26.96,39.32,4.6,
36,"MTD.bf",0.14,2.38,18.62,56,22.86,0
36,"OBD.bf",20.68,16.12,21.66,34.68,5.8,
36,"MTD.ours1",0.06,2.14,17.98,56.34,23.46,0.02
36,"OBD.ours1",9.2,18.42,26.52,38.24,4.78,
36,"MTD.ours2",0.08,1.96,18.22,55.98,23.76,0
36,"OBD.ours2",9.08,17.46,26.38,38.86,5.46,
36,"MTD.ours3",0.12,1.92,17.12,56.98,23.86,0
36,"OBD.ours3",7.98,17.18,25.56,39.42,6.98,
36,"MTD.titeet",0.1,2.1,20.6,57.5,19.6,0.8
36,"OBD.titeet",12.3,16.1,16.7,40.6,13.5,
36,"MTD.tite12",0,1.7,14.4,39.8,43,1.04
36,"OBD.tite12",12.1,14.9,16.7,41.7,13.5,
36,"MTD.bfet",,,,,,1.2
36,"OBD.bfet",9.9,12.1,17.6,50.2,9,
16,"MTD.ours0",0.1,2.4,17.44,56.9,23.16,0
16,"OBD.ours0",3.16,8.04,16.52,59.32,10,
16,"MTD.bf",0.14,2.38,18.62,56,22.86,0
16,"OBD.bf",4.12,8.98,17.78,57.52,10.54,
16,"MTD.ours1",0.06,2.34,17.56,55.48,24.56,0
16,"OBD.ours1",3.66,9.28,14.46,58.36,11.32,
16,"MTD.ours2",0.16,2.5,19.44,54.3,23.6,0
16,"OBD.ours2",3.32,9.3,15.8,57.6,10.82,
16,"MTD.ours3",0.12,1.94,17.14,56.92,23.88,0
16,"OBD.ours3",3.28,8.82,14.7,57.44,12.88,
16,"MTD.titeet",0.1,2.1,20.6,57.5,19.6,0.8
16,"OBD.titeet",12.3,16.1,16.7,40.6,13.5,
16,"MTD.tite12",0,1.7,14.4,39.8,43,1.04
16,"OBD.tite12",12.1,14.9,16.7,41.7,13.5,
16,"MTD.bfet",,,,,,1.2
16,"OBD.bfet",9.9,12.1,17.6,50.2,9,
47,"MTD.ours0",2.98,35.76,44.24,14.28,2.72,0.02
47,"OBD.ours0",71.92,22.56,4.58,0.72,0.06,
47,"MTD.bf",2.64,34.74,45.04,14.6,2.98,0
47,"OBD.bf",75.58,18.38,4,1.66,0.34,
47,"MTD.ours1",3.24,34.28,44.48,15.06,2.92,0.02
47,"OBD.ours1",71.24,23.24,4.74,0.64,0.02,
47,"MTD.ours2",2.68,34.14,45.44,14.56,3.18,0
47,"OBD.ours2",71.02,23.08,5.12,0.72,0.04,
47,"MTD.ours3",2.34,34.24,44.76,15.24,3.42,0
47,"OBD.ours3",70.08,22.72,5.66,1.16,0.22,
47,"MTD.titeet",12.4,39.1,35.2,11.4,1.9,0.1
47,"OBD.titeet",53.3,25.7,14,5.7,1.2,
47,"MTD.tite12",1.3,23.9,39.4,22.2,12.4,0.7
47,"OBD.tite12",45.9,29.2,15.1,6.7,2.3,
47,"MTD.bfet",,,,,,0.1
47,"OBD.bfet",55.2,31.1,10.9,2.2,0.4,
7,"MTD.ours0",2.76,35,45.18,14.2,2.86,0
7,"OBD.ours0",53.88,31.3,12.2,2.26,0.28,
7,"MTD.bf",2.64,34.74,45.04,14.6,2.98,0
7,"OBD.bf",51.64,31.64,12.8,3.12,0.76,
7,"MTD.ours1",2.96,34.44,45.84,14.3,2.46,0
7,"OBD.ours1",56.28,30.14,11.24,2.1,0.18,
7,"MTD.ours2",2.82,34.72,45.52,14.04,2.9,0
7,"OBD.ours2",56.12,29.74,11.64,2.18,0.22,
7,"MTD.ours3",2.36,34.24,44.66,15.32,3.42,0
7,"OBD.ours3",53.88,29.34,12.42,3.36,0.84,
7,"MTD.titeet",12.4,39.1,35.2,11.4,1.9,0.1
7,"OBD.titeet",53.3,25.7,14,5.7,1.2,
7,"MTD.tite12",1.3,23.9,39.4,22.2,12.4,0.7
7,"OBD.tite12",45.9,29.2,15.1,6.7,2.3,
7,"MTD.bfet",,,,,,0.1
7,"OBD.bfet",55.2,31.1,10.9,2.2,0.4,
6,"MTD.ours0",0.1,2.56,18.48,56.64,22.22,0
6,"OBD.ours0",4.64,12.32,19.3,52.92,7.52,
6,"MTD.bf",0.14,2.38,18.62,56,22.86,0
6,"OBD.bf",8.18,11.88,19.62,50.46,8.8,
6,"MTD.ours1",0.1,2.16,18.3,56.12,23.32,0
6,"OBD.ours1",5.42,12.04,19.38,52.12,8.26,
6,"MTD.ours2",0.06,2.56,18.12,55.4,23.86,0
6,"OBD.ours2",5.02,12.94,17.96,52.46,8.48,
6,"MTD.ours3",0.12,1.94,17.24,56.92,23.78,0
6,"OBD.ours3",4.52,12.02,18.22,51.38,10.98,
6,"MTD.titeet",0.1,2.1,20.6,57.5,19.6,0.8
6,"OBD.titeet",12.3,16.1,16.7,40.6,13.5,
6,"MTD.tite12",0,1.7,14.4,39.8,43,1.04
6,"OBD.tite12",12.1,14.9,16.7,41.7,13.5,
6,"MTD.bfet",,,,,,1.2
6,"OBD.bfet",9.9,12.1,17.6,50.2,9,
37,"MTD.ours0",3.06,36.52,43.62,13.7,3.08,0.02
37,"OBD.ours0",65.34,26.06,7.3,1.06,0.12,
37,"MTD.bf",2.64,34.74,45.04,14.6,2.98,0
37,"OBD.bf",62.38,26.78,7.9,2.4,0.5,
37,"MTD.ours1",2.72,33.78,44.94,15.24,3.32,0
37,"OBD.ours1",64.22,26.66,7.72,1.1,0.24,
37,"MTD.ours2",2.9,34.86,44.7,14.4,3.14,0
37,"OBD.ours2",65.52,25.76,7.34,1.16,0.2,
37,"MTD.ours3",2.36,34.32,44.68,15.28,3.36,0
37,"OBD.ours3",63.92,25.46,8.04,2.04,0.38,
37,"MTD.titeet",12.4,39.1,35.2,11.4,1.9,0.1
37,"OBD.titeet",53.3,25.7,14,5.7,1.2,
37,"MTD.tite12",1.3,23.9,39.4,22.2,12.4,0.7
37,"OBD.tite12",45.9,29.2,15.1,6.7,2.3,
37,"MTD.bfet",,,,,,0.1
37,"OBD.bfet",55.2,31.1,10.9,2.2,0.4,
27,"MTD.ours0",3.32,34.2,45.5,14.32,2.64,0.02
27,"OBD.ours0",41.86,35.16,18.54,3.9,0.5,
27,"MTD.bf",2.64,34.74,45.04,14.6,2.98,0
27,"OBD.bf",39.56,35.5,19.6,4.42,0.88,
27,"MTD.ours1",2.76,34.32,45.7,14.16,3.04,0.02
27,"OBD.ours1",40.5,35.3,19.12,4.4,0.58,
27,"MTD.ours2",3,34.84,45.3,13.78,3.08,0
27,"OBD.ours2",42.24,34.8,17.5,4.36,0.9,
27,"MTD.ours3",2.38,34.5,44.34,15.34,3.44,0
27,"OBD.ours3",40.44,33.3,19.22,5.8,1.08,
27,"MTD.titeet",12.4,39.1,35.2,11.4,1.9,0.1
27,"OBD.titeet",53.3,25.7,14,5.7,1.2,
27,"MTD.tite12",1.3,23.9,39.4,22.2,12.4,0.7
27,"OBD.tite12",45.9,29.2,15.1,6.7,2.3,
27,"MTD.bfet",,,,,,0.1
27,"OBD.bfet",55.2,31.1,10.9,2.2,0.4,
17,"MTD.ours0",3.46,34.4,45.36,13.96,2.8,0.02
17,"OBD.ours0",45.74,34,16.54,3.24,0.4,
17,"MTD.bf",2.64,34.74,45.04,14.6,2.98,0
17,"OBD.bf",42.8,35.06,17.14,4.12,0.84,
17,"MTD.ours1",2.7,34.78,45.72,13.68,3.12,0
17,"OBD.ours1",46.36,33.8,16.1,3.3,0.36,
17,"MTD.ours2",2.94,35.64,44.9,13.3,3.18,0.04
17,"OBD.ours2",46.72,33.74,15.48,3.26,0.58,
17,"MTD.ours3",2.38,34.5,44.54,15.24,3.34,0
17,"OBD.ours3",43.86,33.12,16.9,4.98,0.98,
17,"MTD.titeet",12.4,39.1,35.2,11.4,1.9,0.1
17,"OBD.titeet",53.3,25.7,14,5.7,1.2,
17,"MTD.tite12",1.3,23.9,39.4,22.2,12.4,0.7
17,"OBD.tite12",45.9,29.2,15.1,6.7,2.3,
17,"MTD.bfet",,,,,,0.1
17,"OBD.bfet",55.2,31.1,10.9,2.2,0.4,
44,"MTD.ours0",0,0.26,3.08,27.1,69.56,0
44,"OBD.ours0",8.02,16.9,21.72,45.82,7.08,
44,"MTD.bf",0,0.3,2.46,27.58,69.66,0
44,"OBD.bf",28.98,12.94,16.54,35.3,6.06,
44,"MTD.ours1",0,0.32,2.5,27.12,70.06,0
44,"OBD.ours1",8.9,17.48,21.5,45.52,6.3,
44,"MTD.ours2",0.02,0.1,2.34,27.98,69.56,0
44,"OBD.ours2",8.52,16.44,22.68,45.82,6.18,
44,"MTD.ours3",0,0.24,2.66,26.02,71.08,0
44,"OBD.ours3",8.18,16.78,21.78,45.78,7.14,
44,"MTD.titeet",0,0.3,3.7,43,53,0.1
44,"OBD.titeet",8.3,14.1,13.9,44.9,18.8,
44,"MTD.tite12",0,0.4,3.7,20,75.7,0.2
44,"OBD.tite12",7.9,10.6,13,47.5,20.7,
44,"MTD.bfet",,,,,,0.3
44,"OBD.bfet",4.2,6.9,11.8,56,20.8,
24,"MTD.ours0",0,0.3,2.68,28.22,68.8,0
24,"OBD.ours0",0.82,3.42,7.36,56.34,31.64,
24,"MTD.bf",0,0.3,2.46,27.58,69.66,0
24,"OBD.bf",0.8,2.82,7.64,55.38,33.18,
24,"MTD.ours1",0.04,0.32,2.56,26.42,70.66,0
24,"OBD.ours1",1,3.72,7.46,54.1,33.26,
24,"MTD.ours2",0.02,0.32,2.6,25.22,71.84,0
24,"OBD.ours2",0.76,3.46,7.46,52.52,35.42,
24,"MTD.ours3",0,0.24,2.56,25.86,71.34,0
24,"OBD.ours3",0.7,3.14,7.22,51.76,36.84,
24,"MTD.titeet",0,0.3,3.7,43,53,0.1
24,"OBD.titeet",8.3,14.1,13.9,44.9,18.8,
24,"MTD.tite12",0,0.4,3.7,20,75.7,0.2
24,"OBD.tite12",7.9,10.6,13,47.5,20.7,
24,"MTD.bfet",,,,,,0.3
24,"OBD.bfet",4.2,6.9,11.8,56,20.8,
14,"MTD.ours0",0,0.44,2.5,27.06,70,0
14,"OBD.ours0",0.6,3.66,8.2,56.88,30.22,
14,"MTD.bf",0,0.3,2.46,27.58,69.66,0
14,"OBD.bf",0.92,3.12,7.66,57.44,30.68,
14,"MTD.ours1",0.02,0.28,2.66,27.36,69.68,0
14,"OBD.ours1",1.22,3.8,8.16,55.22,31.14,
14,"MTD.ours2",0,0.3,2.9,25.58,71.22,0
14,"OBD.ours2",1.06,4.16,8.22,55.94,30.18,
14,"MTD.ours3",0,0.24,2.58,25.92,71.26,0
14,"OBD.ours3",0.92,3.7,7.4,53.5,34.14,
14,"MTD.titeet",0,0.3,3.7,43,53,0.1
