"setting.idx","metric","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5"
34,"True.Eff",0.05,0.1,0.15,0.35,0.36
34,"True.Utility",0.04,0.06,0.06,0.2,-0.02
48,"True.Tox",0.08,0.12,0.18,0.25,0.35
48,"True.Eff",0.38,0.38,0.39,0.4,0.4
48,"True.Utility",0.06,-0.1,-0.33,-0.6,-1
23,"True.Tox",0.02,0.06,0.1,0.25,0.35
23,"True.Eff",0.05,0.1,0.35,0.36,0.37
23,"True.Utility",0.05,0.1,0.35,0.36,0.37
43,"True.Tox",0.02,0.06,0.1,0.25,0.35
43,"True.Eff",0.05,0.1,0.35,0.36,0.37
43,"True.Utility",-0.03,-0.14,-0.05,-0.64,-1.03
13,"True.Tox",0.02,0.06,0.1,0.25,0.35
13,"True.Eff",0.05,0.1,0.35,0.36,0.37
13,"True.Utility",0.05,0.09,0.32,0.3,0.28
9,"True.Tox",0.02,0.06,0.18,0.25,0.35
9,"True.Eff",0.15,0.35,0.36,0.37,0.37
9,"True.Utility",0.14,0.31,0.24,0.2,0.14
29,"True.Tox",0.02,0.06,0.18,0.25,0.35
29,"True.Eff",0.15,0.35,0.36,0.37,0.37
29,"True.Utility",0.15,0.35,0.36,0.37,0.37
19,"True.Tox",0.02,0.06,0.18,0.25,0.35
19,"True.Eff",0.15,0.35,0.36,0.37,0.37
19,"True.Utility",0.14,0.33,0.32,0.31,0.28
33,"True.Tox",0.02,0.06,0.1,0.25,0.35
33,"True.Eff",0.05,0.1,0.35,0.36,0.37
33,"True.Utility",0.02,0.01,0.2,-0.02,-0.15
28,"True.Tox",0.08,0.12,0.18,0.25,0.35
28,"True.Eff",0.38,0.38,0.39,0.4,0.4
28,"True.Utility",0.38,0.38,0.39,0.4,0.4
3,"True.Tox",0.02,0.06,0.1,0.25,0.35
3,"True.Eff",0.05,0.1,0.35,0.36,0.37
3,"True.Utility",0.04,0.06,0.28,0.19,0.14
49,"True.Tox",0.02,0.06,0.18,0.25,0.35
49,"True.Eff",0.15,0.35,0.36,0.37,0.37
49,"True.Utility",0.07,0.11,-0.36,-0.63,-1.03
39,"True.Tox",0.02,0.06,0.18,0.25,0.35
39,"True.Eff",0.15,0.35,0.36,0.37,0.37
39,"True.Utility",0.12,0.26,0.09,-0.01,-0.15
38,"True.Tox",0.08,0.12,0.18,0.25,0.35
38,"True.Eff",0.38,0.38,0.39,0.4,0.4
38,"True.Utility",0.26,0.2,0.12,0.03,-0.12
18,"True.Tox",0.08,0.12,0.18,0.25,0.35
18,"True.Eff",0.38,0.38,0.39,0.4,0.4
18,"True.Utility",0.36,0.35,0.35,0.34,0.31
40,"True.Tox",0.05,0.08,0.15,0.18,0.25
40,"True.Eff",0.15,0.38,0.38,0.39,0.4
40,"True.Utility",0.07,0.26,0.16,0.12,0.03
30,"True.Tox",0.05,0.08,0.15,0.18,0.25
30,"True.Eff",0.15,0.38,0.38,0.39,0.4
30,"True.Utility",0.15,0.38,0.38,0.39,0.4
20,"True.Tox",0.05,0.08,0.15,0.18,0.25
20,"True.Eff",0.15,0.38,0.38,0.39,0.4
20,"True.Utility",0.14,0.36,0.34,0.35,0.34
50,"True.Tox",0.05,0.08,0.15,0.18,0.25
50,"True.Eff",0.15,0.38,0.38,0.39,0.4
50,"True.Utility",-0.05,0.06,-0.22,-0.33,-0.6
8,"True.Tox",0.08,0.12,0.18,0.25,0.35
8,"True.Eff",0.38,0.38,0.39,0.4,0.4
8,"True.Utility",0.33,0.3,0.27,0.23,0.17
10,"True.Tox",0.05,0.08,0.15,0.18,0.25
10,"True.Eff",0.15,0.38,0.38,0.39,0.4
10,"True.Utility",0.12,0.33,0.28,0.27,0.23
