"setting.idx","method","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5","early.stop"
42,"MTD.ours0",3.24,33,43.66,16.06,4.04,0
42,"OBD.ours0",16.8,56.68,21,3.88,0.64,
42,"MTD.bf",2.58,33.96,43.62,16.18,3.66,0
42,"OBD.bf",16.74,56.38,21.32,4.3,0.68,
42,"MTD.ours1",3.14,32.56,43.5,16.24,4.56,0
42,"OBD.ours1",17.02,55.54,21.04,4.48,0.7,
42,"MTD.ours2",3.12,33.54,41.76,17.12,4.44,0.02
42,"OBD.ours2",16.66,55.88,21.12,4.58,0.8,
42,"MTD.ours3",2.72,32.62,42.32,17.44,4.9,0
42,"OBD.ours3",20.08,53.02,19.74,5.4,0.78,
42,"MTD.titeet",2.4,41.3,41,13.2,2.1,1.3
42,"OBD.titeet",21.4,45.2,22,7.8,2.3,
42,"MTD.tite12",0.7,11.3,30.7,30.7,26.4,0.24
42,"OBD.tite12",18.9,43,24.2,10.4,3.3,
42,"MTD.bfet",,,,,,1.2
42,"OBD.bfet",17.7,52.2,22.1,5.8,1,
5,"MTD.ours0",1.86,21.76,50.14,21.12,5.12,0
5,"OBD.ours0",15.18,21.62,50.68,7.9,1.36,
5,"MTD.bf",1.44,21.82,50.5,21.18,5.06,0
5,"OBD.bf",19.88,22.56,47.08,6.96,1.3,
5,"MTD.ours1",1.94,21.6,49.68,21.14,5.62,0.02
5,"OBD.ours1",18.82,22,47.34,7.42,1.4,
5,"MTD.ours2",2.08,21.18,50.32,20.5,5.9,0.02
5,"OBD.ours2",18.06,22.82,47.74,7.1,1.22,
5,"MTD.ours3",1.68,21.94,48.8,21.9,5.68,0
5,"OBD.ours3",23.36,23.98,41,7.12,1.42,
5,"MTD.titeet",1,19.8,56.3,19.6,3.3,1.2
5,"OBD.titeet",19.9,15.6,45.4,14.1,3.9,
5,"MTD.tite12",0.3,6.1,31.9,27.3,33.7,0.6
5,"OBD.tite12",17.5,16.6,43.8,15.6,5.9,
5,"MTD.bfet",,,,,,2
5,"OBD.bfet",17,18.8,49.7,10.2,2.3,
15,"MTD.ours0",1.74,21.18,51.1,21.4,4.56,0.02
15,"OBD.ours0",14.98,21.38,51.2,8,0.98,
15,"MTD.bf",1.48,22.32,50.14,21.84,4.22,0
15,"OBD.bf",18.16,21.68,48.86,7.64,1.32,
15,"MTD.ours1",1.68,21.36,49.78,21.74,5.42,0.02
15,"OBD.ours1",16.88,20.54,50.44,7.72,1.4,
15,"MTD.ours2",2.1,21.26,48.46,22.04,6.14,0
15,"OBD.ours2",15.9,20.94,49.92,8.16,1.56,
15,"MTD.ours3",1.64,22.08,48.4,22.86,5.02,0
15,"OBD.ours3",19.16,22.58,45.7,8.16,1.1,
15,"MTD.titeet",1.4,19.4,56.9,18.5,3.7,1.8
15,"OBD.titeet",19.7,16,44.2,14.3,4,
15,"MTD.tite12",0.2,6.3,30.7,29.4,32.7,0.58
15,"OBD.tite12",18.3,16.9,43.8,15,5.4,
15,"MTD.bfet",,,,,,2
15,"OBD.bfet",16.5,18.5,50.7,10.2,2.1,
2,"MTD.ours0",2.8,33.8,42.74,16.3,4.36,0
2,"OBD.ours0",17.26,55.8,20.94,4.4,0.62,
2,"MTD.bf",2.56,33.98,42.98,16.36,4.12,0
2,"OBD.bf",19.5,54.98,19.9,4.3,0.82,
2,"MTD.ours1",3.02,31.94,44.22,16.1,4.7,0.02
2,"OBD.ours1",19.1,54.8,20.24,4.56,0.58,
2,"MTD.ours2",3.04,32.62,43.52,16.26,4.56,0
2,"OBD.ours2",18.42,55.52,20.16,4.46,0.58,
2,"MTD.ours3",2.66,32.64,42.7,17.12,4.88,0
2,"OBD.ours3",24.74,51.28,18.18,4.34,0.84,
2,"MTD.titeet",2.1,41.9,41.9,11.9,2.3,1.2
2,"OBD.titeet",21.4,45.1,22.3,8.2,1.9,
2,"MTD.tite12",0.4,11.9,30.4,30.7,26.3,0.32
2,"OBD.tite12",17.8,44.8,23.7,9.6,3.8,
2,"MTD.bfet",,,,,,1
2,"OBD.bfet",18.8,51.7,21.4,6.3,0.9,
75,"MTD.ours0",2.6,21.26,50.68,20.62,4.84,0
75,"OBD.ours0",15.86,20.78,50.88,7.68,1.12,
75,"MTD.bf",1.48,22.7,50.62,20.66,4.54,0
75,"OBD.bf",17.42,21.3,50.66,7.26,1.24,
75,"MTD.ours1",1.5,20.66,49.94,22.22,5.68,0
75,"OBD.ours1",16.02,21.36,50.32,7.64,1.4,
75,"MTD.ours2",2.12,21.96,50.04,20.7,5.16,0.02
75,"OBD.ours2",16.54,22.16,48.5,7.56,1.2,
75,"MTD.ours3",1.66,22.06,48.26,22.66,5.36,0
75,"OBD.ours3",19.3,22.16,46.04,8.06,1.08,
75,"MTD.titeet",1.4,19.1,57,19,3.5,1.4
75,"OBD.titeet",19.4,16.7,45.3,13.5,3.6,
75,"MTD.tite12",0.3,6.2,30.4,28.7,33.6,0.76
75,"OBD.tite12",16.9,15.9,43.7,16.4,6.3,
75,"MTD.bfet",,,,,,2.3
75,"OBD.bfet",17.1,18.9,49.8,10.1,1.9,
35,"MTD.ours0",1.86,21.96,48.88,21.68,5.6,0.02
35,"OBD.ours0",16.16,20.26,51.24,7.66,1.28,
35,"MTD.bf",1.54,21.68,50.48,21.48,4.82,0
35,"OBD.bf",18.4,21.32,49.58,7,1.5,
35,"MTD.ours1",1.72,21.52,50.1,20.86,5.8,0
35,"OBD.ours1",17.98,22.56,47.68,7.38,1.34,
35,"MTD.ours2",2.18,22.5,48.98,21.16,5.16,0.02
35,"OBD.ours2",17.74,22.64,48.52,7.06,0.74,
35,"MTD.ours3",1.66,22.06,48.4,22.2,5.68,0
35,"OBD.ours3",23.2,23.86,40.92,7.5,1.36,
35,"MTD.titeet",1.4,20.5,55.9,19.1,3,1.8
35,"OBD.titeet",19.7,16.1,45.2,13.7,3.5,
35,"MTD.tite12",0.1,6.7,31.2,28.1,33.2,0.64
35,"OBD.tite12",16.7,16.5,44.3,15.8,6.1,
35,"MTD.bfet",,,,,,2.1
35,"OBD.bfet",17.5,19.1,49,10.2,2,
65,"MTD.ours0",2.14,21.32,49.96,21.5,5.06,0.02
65,"OBD.ours0",16.24,22.16,49.22,8.26,1.08,
65,"MTD.bf",1.54,22.38,51.16,20.98,3.94,0
65,"OBD.bf",17.28,21.78,50.46,7.08,1.24,
65,"MTD.ours1",1.76,21.16,50.72,21.06,5.3,0
65,"OBD.ours1",17.12,22.06,49.1,7.42,1.28,
65,"MTD.ours2",1.84,20.72,50.66,21.66,5.1,0.02
65,"OBD.ours2",17.04,21.3,49.78,7.5,1.1,
65,"MTD.ours3",1.7,21.72,48.82,22.42,5.34,0
65,"OBD.ours3",21.78,23.32,42.68,7.92,1.22,
65,"MTD.titeet",1,19.9,56.5,18.9,3.7,1.4
65,"OBD.titeet",18.7,16.2,46.2,13.8,3.6,
65,"MTD.tite12",0.3,6.5,31.3,27.9,33.4,0.66
65,"OBD.tite12",15.9,16.3,44.5,16.4,6.2,
65,"MTD.bfet",,,,,,2.2
65,"OBD.bfet",17.7,19.2,48.7,10.3,2,
85,"MTD.ours0",1.94,22.3,50.18,21.02,4.56,0
85,"OBD.ours0",15.5,21.28,51.02,7.32,1.22,
85,"MTD.bf",1.5,22.46,50.86,20.7,4.48,0
85,"OBD.bf",16.9,21.28,51.02,7.3,1.24,
85,"MTD.ours1",1.6,22.56,48.98,22.02,4.82,0.02
85,"OBD.ours1",16.1,21.28,49.06,8.2,1.38,
85,"MTD.ours2",1.84,22.02,49.58,21.66,4.88,0.02
85,"OBD.ours2",15.78,21,50.18,8.24,1.16,
85,"MTD.ours3",1.76,22.22,48.64,22.06,5.32,0
85,"OBD.ours3",16.52,21.34,48.26,8.42,1.74,
85,"MTD.titeet",1.4,19.4,55.8,19.2,4.2,1.5
85,"OBD.titeet",18.6,15.9,45.6,14,4.4,
85,"MTD.tite12",0.4,6.4,30.1,28.2,34.5,0.48
85,"OBD.tite12",17.2,15.7,44.2,15.7,6.8,
85,"MTD.bfet",,,,,,2.1
85,"OBD.bfet",17.2,19,49.9,10,1.7,
52,"MTD.ours0",3.4,33.02,45,15.08,3.5,0
52,"OBD.ours0",16.68,57.86,20.32,3.72,0.4,
52,"MTD.bf",2.64,34.32,44.16,15.42,3.46,0
52,"OBD.bf",16.18,57,21.4,4.14,0.7,
52,"MTD.ours1",2.84,32.64,44.24,16.04,4.24,0
52,"OBD.ours1",17.04,56.56,20.76,3.92,0.84,
52,"MTD.ours2",3.3,33.3,42.5,16.56,4.3,0.04
52,"OBD.ours2",17.48,56.74,20.02,4.18,0.58,
52,"MTD.ours3",2.7,33.76,42.6,16.56,4.38,0
52,"OBD.ours3",18.4,53.38,21.38,5.08,0.88,
52,"MTD.titeet",1.9,41,42.1,12.2,2.9,1.1
52,"OBD.titeet",20.5,46.6,22.4,7.4,2,
52,"MTD.tite12",0.5,10.9,30.3,31.4,26.7,0.26
52,"OBD.tite12",17.8,43.1,24.3,10.6,3.9,
52,"MTD.bfet",,,,,,1.2
52,"OBD.bfet",17.1,53.2,22.2,5.4,0.9,
25,"MTD.ours0",2.1,23.04,49.74,20.86,4.22,0.04
25,"OBD.ours0",15.12,22.98,49.5,7.66,1.02,
25,"MTD.bf",1.5,22.46,50.64,20.94,4.46,0
25,"OBD.bf",17,21.22,51.02,7.24,1.26,
25,"MTD.ours1",1.7,22.3,49.06,21.86,5.08,0
25,"OBD.ours1",16.2,20.14,50.74,8.32,1.1,
25,"MTD.ours2",1.9,22.1,50.28,20.92,4.8,0
25,"OBD.ours2",15.7,21.32,50.46,7.64,1.18,
25,"MTD.ours3",1.78,22.16,48.6,22.3,5.16,0
25,"OBD.ours3",16.46,21.3,48.48,8.38,1.7,
25,"MTD.titeet",1.3,20.5,55.5,19.3,3.4,1.6
25,"OBD.titeet",19.6,16.9,43.6,14.1,4.3,
25,"MTD.tite12",0.2,6.8,30.1,28.5,33.4,0.96
25,"OBD.tite12",17.8,16.7,42.4,15.9,6.2,
25,"MTD.bfet",,,,,,1.9
25,"OBD.bfet",16.2,18.7,51,10,2.1,
55,"MTD.ours0",1.7,21.82,50.94,20.68,4.84,0.02
55,"OBD.ours0",15.14,22.1,50.92,7.14,1.32,
55,"MTD.bf",1.5,22.48,50.68,20.9,4.44,0
55,"OBD.bf",17.04,21.18,51.06,7.22,1.24,
55,"MTD.ours1",1.54,22.88,48.38,21.76,5.42,0.02
55,"OBD.ours1",16.04,21.06,49.62,8.44,1.34,
55,"MTD.ours2",1.76,21.92,50.3,20.76,5.26,0
55,"OBD.ours2",15.42,21.44,50.44,7.6,1.38,
55,"MTD.ours3",1.78,22.16,48.5,22.24,5.32,0
55,"OBD.ours3",16.44,21.2,48.32,8.56,1.76,
55,"MTD.titeet",1,20.1,55.6,20.1,3.2,1.5
55,"OBD.titeet",19.1,16.1,44.8,14.2,4.2,
55,"MTD.tite12",0.2,6.5,30.1,29.3,33.1,0.78
55,"OBD.tite12",18.3,15.6,42.7,16,6.5,
55,"MTD.bfet",,,,,,2
55,"OBD.bfet",16.9,18.7,50.4,10,2,
62,"MTD.ours0",3.42,32.9,44.02,15.52,4.14,0
62,"OBD.ours0",17.96,55.48,20.76,3.94,0.8,
62,"MTD.bf",2.54,34.38,44.22,15.36,3.5,0
62,"OBD.bf",16.48,56.68,21.08,4.42,0.8,
62,"MTD.ours1",2.9,32.1,43.6,16.86,4.54,0
62,"OBD.ours1",18.28,55.3,20.94,4.16,0.68,
62,"MTD.ours2",3.22,32.1,44.06,16.18,4.4,0.04
62,"OBD.ours2",16.58,57,20.92,4.02,0.6,
62,"MTD.ours3",2.8,32.72,42.14,17.7,4.64,0
62,"OBD.ours3",23.9,51.8,18.7,4.2,0.7,
62,"MTD.titeet",2.4,41.5,41.4,12.4,2.3,1.1
62,"OBD.titeet",19.2,47.4,22.3,8.2,1.8,
62,"MTD.tite12",0.6,11.9,30.7,31.1,25.6,0.16
62,"OBD.tite12",17.7,43.2,24.6,10.3,4.1,
62,"MTD.bfet",,,,,,1.2
62,"OBD.bfet",19.8,51.3,20.4,6.3,1,
4,"MTD.ours0",0,0.38,2.74,26.36,70.52,0
4,"OBD.ours0",2.2,5.86,11.46,57.06,23.18,
4,"MTD.bf",0,0.3,2.7,25.86,71.14,0
4,"OBD.bf",5.8,10.26,13.26,50.28,20.24,
4,"MTD.ours1",0.04,0.18,2.92,27.5,69.36,0
4,"OBD.ours1",4.76,9.34,13.78,53.66,18.22,
4,"MTD.ours2",0,0.3,2.86,26.5,70.34,0
4,"OBD.ours2",4.24,9.62,12.36,54.56,18.9,
4,"MTD.ours3",0,0.26,3.06,26.76,69.92,0
4,"OBD.ours3",6.66,13.84,17,46.06,16.14,
4,"MTD.titeet",0,0.2,3,39.8,57,0
4,"OBD.titeet",8.3,13.3,13.7,43.9,20.7,
4,"MTD.tite12",0,0.1,1.6,12.5,85.7,0.06
4,"OBD.tite12",6.8,10,12.5,48.6,22,
4,"MTD.bfet",,,,,,0.1
4,"OBD.bfet",4.3,8.2,13.6,54.1,19.7,
44,"MTD.ours0",0,0.3,2.64,26.4,70.66,0
44,"OBD.ours0",1.66,5.6,11.66,57.7,23.02,
44,"MTD.bf",0,0.3,2.92,26.9,69.88,0
44,"OBD.bf",4.62,8.76,12.26,53.3,20.9,
44,"MTD.ours1",0,0.32,2.88,27.48,69.32,0
44,"OBD.ours1",2.68,8.02,12.92,56.28,19.78,
44,"MTD.ours2",0.04,0.32,3.1,27.1,69.44,0
44,"OBD.ours2",2.34,7.54,12.24,57.76,19.78,
44,"MTD.ours3",0,0.28,3.2,26.4,70.12,0
44,"OBD.ours3",3.78,9.74,15.9,50.24,19.8,
44,"MTD.titeet",0,0.1,3.3,38.9,57.7,0
44,"OBD.titeet",8.3,13,14.2,43.2,21.4,
44,"MTD.tite12",0,0.1,1.3,12.5,86.1,0.08
44,"OBD.tite12",6.8,10.1,12.9,47.6,22.5,
44,"MTD.bfet",,,,,,0.1
44,"OBD.bfet",3.6,7.3,11.7,56.7,20.7,
32,"MTD.ours0",2.94,33.34,43.76,15.88,4.04,0.04
32,"OBD.ours0",16.6,55.84,21.5,4.74,0.68,
32,"MTD.bf",2.56,33.26,43.94,16.26,3.98,0
32,"OBD.bf",17.6,55.86,20.92,4.22,0.9,
32,"MTD.ours1",2.9,32.72,42.74,16.44,5.18,0.02
32,"OBD.ours1",18.28,55.96,19.82,4.34,0.94,
32,"MTD.ours2",3.04,31.32,44.5,15.8,5.32,0.02
32,"OBD.ours2",17.3,55.98,20.22,4.88,0.84,
32,"MTD.ours3",2.76,32.8,42.22,17.26,4.96,0
32,"OBD.ours3",24.7,51.16,18.22,4.5,0.8,
32,"MTD.titeet",2.1,42.3,41.1,12.2,2.2,1.3
32,"OBD.titeet",20.4,46.6,22,7.8,1.9,
32,"MTD.tite12",0.5,11.8,30.2,30.6,26.5,0.3
32,"OBD.tite12",17.9,43.9,23.7,10.3,3.9,
32,"MTD.bfet",,,,,,1.1
32,"OBD.bfet",19.3,51.5,20.7,6.4,1,
12,"MTD.ours0",2.94,33.28,43.6,16.32,3.82,0.04
12,"OBD.ours0",16.32,56.26,21.82,4.1,0.56,
12,"MTD.bf",2.62,33.9,43.76,15.98,3.74,0
12,"OBD.bf",16.7,56.42,21.26,4.34,0.7,
12,"MTD.ours1",2.76,32.92,43.46,16.56,4.3,0
12,"OBD.ours1",16.34,56.78,20.74,4.4,0.72,
12,"MTD.ours2",3.14,33.66,41.58,17.4,4.18,0.04
12,"OBD.ours2",17.36,55.6,20.6,4.74,0.78,
12,"MTD.ours3",2.72,32.6,42.42,17.4,4.86,0
12,"OBD.ours3",20.24,52.76,19.84,5.38,0.8,
12,"MTD.titeet",1.9,41.1,41.1,13,3,0.9
12,"OBD.titeet",20.6,45.7,22.1,8.5,2.3,
12,"MTD.tite12",0.5,10.7,30.7,30.5,27.3,0.24
12,"OBD.tite12",18,44.1,24.2,9.6,3.9,
12,"MTD.bfet",,,,,,1.1
12,"OBD.bfet",17.3,52.6,22.1,5.8,1.1,
72,"MTD.ours0",2.9,33.66,44.16,15.5,3.74,0.04
72,"OBD.ours0",16.16,57.66,20.94,3.74,0.58,
72,"MTD.bf",2.56,34.3,44.3,15.24,3.6,0
72,"OBD.bf",16.86,56.46,21.22,4.18,0.72,
72,"MTD.ours1",3.24,33.36,42.88,16.5,4,0.02
72,"OBD.ours1",18.02,56.92,19.36,4.12,0.74,
72,"MTD.ours2",2.82,33.04,42.88,16.72,4.52,0.02
72,"OBD.ours2",17.74,55.44,20.54,4.7,0.76,
72,"MTD.ours3",2.86,32.54,42.5,17.24,4.86,0
72,"OBD.ours3",20.08,53.14,19.78,5.28,0.68,
72,"MTD.titeet",2.1,41.1,41.5,12.9,2.3,1.3
72,"OBD.titeet",19.2,47.3,22.4,8,1.8,
72,"MTD.tite12",0.4,11.3,30.5,31.8,25.8,0.16
72,"OBD.tite12",17.3,43.1,24.6,11.1,3.9,
72,"MTD.bfet",,,,,,1.4
72,"OBD.bfet",18.3,52,21.8,5.5,1.1,
91,"MTD.ours0",34.16,45.24,14.92,3.48,0.9,1.3
91,"OBD.ours0",71.66,21.04,4.48,0.84,0.1,
91,"MTD.bf",35.44,44.48,15.02,3.16,0.7,1.2
91,"OBD.bf",72.44,20.88,4.32,0.7,0.18,
91,"MTD.ours1",34.8,43.78,16.14,3.7,0.66,0.92
91,"OBD.ours1",71.08,22.28,4.4,0.9,0.1,
