"setting.idx","metric","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5"
55,"True.Tox",0.05,0.12,0.22,0.35,0.4
55,"True.Eff",0.1,0.15,0.38,0.38,0.4
55,"True.Utility",0.07,0.07,0.23,0.15,0.13
62,"True.Tox",0.05,0.15,0.25,0.35,0.4
62,"True.Eff",0.15,0.35,0.36,0.37,0.37
62,"True.Utility",0.12,0.25,0.19,0.14,0.1
4,"True.Tox",0.01,0.03,0.06,0.1,0.25
4,"True.Eff",0.05,0.1,0.15,0.35,0.36
4,"True.Utility",0.04,0.08,0.11,0.28,0.19
44,"True.Tox",0.01,0.03,0.06,0.1,0.25
44,"True.Eff",0.05,0.1,0.15,0.35,0.36
44,"True.Utility",0.04,0.08,0.11,0.28,0.19
32,"True.Tox",0.05,0.15,0.25,0.35,0.4
32,"True.Eff",0.15,0.35,0.36,0.37,0.37
32,"True.Utility",0.12,0.25,0.19,0.14,0.1
12,"True.Tox",0.05,0.15,0.25,0.35,0.4
12,"True.Eff",0.15,0.35,0.36,0.37,0.37
12,"True.Utility",0.12,0.25,0.19,0.14,0.1
72,"True.Tox",0.05,0.15,0.25,0.35,0.4
72,"True.Eff",0.15,0.35,0.36,0.37,0.37
72,"True.Utility",0.12,0.25,0.19,0.14,0.1
91,"True.Tox",0.15,0.25,0.35,0.4,0.45
91,"True.Eff",0.35,0.35,0.36,0.37,0.37
91,"True.Utility",0.25,0.18,0.13,0.1,0.07
161,"True.Tox",0.15,0.25,0.35,0.4,0.45
161,"True.Eff",0.35,0.35,0.36,0.37,0.37
161,"True.Utility",0.25,0.18,0.13,0.1,0.07
77,"True.Tox",0.05,0.15,0.25,0.35,0.4
77,"True.Eff",0.35,0.35,0.36,0.37,0.37
77,"True.Utility",0.32,0.25,0.19,0.14,0.1
7,"True.Tox",0.05,0.15,0.25,0.35,0.4
7,"True.Eff",0.35,0.35,0.36,0.37,0.37
7,"True.Utility",0.32,0.25,0.19,0.14,0.1
46,"True.Tox",0.02,0.06,0.1,0.22,0.35
46,"True.Eff",0.05,0.1,0.15,0.38,0.4
46,"True.Utility",0.04,0.06,0.08,0.23,0.17
47,"True.Tox",0.05,0.15,0.25,0.35,0.4
47,"True.Eff",0.35,0.35,0.36,0.37,0.37
47,"True.Utility",0.32,0.25,0.19,0.14,0.1
22,"True.Tox",0.05,0.15,0.25,0.35,0.4
22,"True.Eff",0.15,0.35,0.36,0.37,0.37
22,"True.Utility",0.12,0.25,0.19,0.14,0.1
56,"True.Tox",0.02,0.06,0.1,0.22,0.35
56,"True.Eff",0.05,0.1,0.15,0.38,0.4
56,"True.Utility",0.04,0.06,0.08,0.23,0.17
76,"True.Tox",0.02,0.06,0.1,0.22,0.35
76,"True.Eff",0.05,0.1,0.15,0.38,0.4
76,"True.Utility",0.04,0.06,0.08,0.23,0.17
16,"True.Tox",0.02,0.06,0.1,0.22,0.35
16,"True.Eff",0.05,0.1,0.15,0.38,0.4
16,"True.Utility",0.04,0.06,0.08,0.23,0.17
171,"True.Tox",0.15,0.25,0.35,0.4,0.45
171,"True.Eff",0.35,0.35,0.36,0.37,0.37
171,"True.Utility",0.25,0.18,0.13,0.1,0.07
101,"True.Tox",0.15,0.25,0.35,0.4,0.45
101,"True.Eff",0.35,0.35,0.36,0.37,0.37
101,"True.Utility",0.25,0.18,0.13,0.1,0.07
111,"True.Tox",0.15,0.25,0.35,0.4,0.45
111,"True.Eff",0.35,0.35,0.36,0.37,0.37
111,"True.Utility",0.25,0.18,0.13,0.1,0.07
6,"True.Tox",0.02,0.06,0.1,0.22,0.35
6,"True.Eff",0.05,0.1,0.15,0.38,0.4
6,"True.Utility",0.04,0.06,0.08,0.23,0.17
141,"True.Tox",0.15,0.25,0.35,0.4,0.45
141,"True.Eff",0.35,0.35,0.36,0.37,0.37
141,"True.Utility",0.25,0.18,0.13,0.1,0.07
121,"True.Tox",0.15,0.25,0.35,0.4,0.45
121,"True.Eff",0.35,0.35,0.36,0.37,0.37
121,"True.Utility",0.25,0.18,0.13,0.1,0.07
3,"True.Tox",0.02,0.06,0.1,0.25,0.35
3,"True.Eff",0.05,0.1,0.35,0.36,0.37
3,"True.Utility",0.04,0.06,0.28,0.19,0.14
14,"True.Tox",0.01,0.03,0.06,0.1,0.25
14,"True.Eff",0.05,0.1,0.15,0.35,0.36
14,"True.Utility",0.04,0.08,0.11,0.28,0.19
34,"True.Tox",0.01,0.03,0.06,0.1,0.25
34,"True.Eff",0.05,0.1,0.15,0.35,0.36
34,"True.Utility",0.04,0.08,0.11,0.28,0.19
82,"True.Tox",0.05,0.15,0.25,0.35,0.4
82,"True.Eff",0.15,0.35,0.36,0.37,0.37
82,"True.Utility",0.12,0.25,0.19,0.14,0.1
74,"True.Tox",0.01,0.03,0.06,0.1,0.25
74,"True.Eff",0.05,0.1,0.15,0.35,0.36
74,"True.Utility",0.04,0.08,0.11,0.28,0.19
57,"True.Tox",0.05,0.15,0.25,0.35,0.4
57,"True.Eff",0.35,0.35,0.36,0.37,0.37
57,"True.Utility",0.32,0.25,0.19,0.14,0.1
131,"True.Tox",0.15,0.25,0.35,0.4,0.45
131,"True.Eff",0.35,0.35,0.36,0.37,0.37
131,"True.Utility",0.25,0.18,0.13,0.1,0.07
67,"True.Tox",0.05,0.15,0.25,0.35,0.4
67,"True.Eff",0.35,0.35,0.36,0.37,0.37
67,"True.Utility",0.32,0.25,0.19,0.14,0.1
86,"True.Tox",0.02,0.06,0.1,0.22,0.35
86,"True.Eff",0.05,0.1,0.15,0.38,0.4
86,"True.Utility",0.04,0.06,0.08,0.23,0.17
36,"True.Tox",0.02,0.06,0.1,0.22,0.35
36,"True.Eff",0.05,0.1,0.15,0.38,0.4
36,"True.Utility",0.04,0.06,0.08,0.23,0.17
26,"True.Tox",0.02,0.06,0.1,0.22,0.35
26,"True.Eff",0.05,0.1,0.15,0.38,0.4
26,"True.Utility",0.04,0.06,0.08,0.23,0.17
151,"True.Tox",0.15,0.25,0.35,0.4,0.45
151,"True.Eff",0.35,0.35,0.36,0.37,0.37
151,"True.Utility",0.25,0.18,0.13,0.1,0.07
17,"True.Tox",0.05,0.15,0.25,0.35,0.4
17,"True.Eff",0.35,0.35,0.36,0.37,0.37
17,"True.Utility",0.32,0.25,0.19,0.14,0.1
64,"True.Tox",0.01,0.03,0.06,0.1,0.25
64,"True.Eff",0.05,0.1,0.15,0.35,0.36
64,"True.Utility",0.04,0.08,0.11,0.28,0.19
87,"True.Tox",0.05,0.15,0.25,0.35,0.4
87,"True.Eff",0.35,0.35,0.36,0.37,0.37
87,"True.Utility",0.32,0.25,0.19,0.14,0.1
27,"True.Tox",0.05,0.15,0.25,0.35,0.4
27,"True.Eff",0.35,0.35,0.36,0.37,0.37
27,"True.Utility",0.32,0.25,0.19,0.14,0.1
37,"True.Tox",0.05,0.15,0.25,0.35,0.4
37,"True.Eff",0.35,0.35,0.36,0.37,0.37
37,"True.Utility",0.32,0.25,0.19,0.14,0.1
66,"True.Tox",0.02,0.06,0.1,0.22,0.35
66,"True.Eff",0.05,0.1,0.15,0.38,0.4
66,"True.Utility",0.04,0.06,0.08,0.23,0.17
53,"True.Tox",0.02,0.06,0.1,0.25,0.35
53,"True.Eff",0.05,0.1,0.35,0.36,0.37
53,"True.Utility",0.04,0.06,0.28,0.19,0.14
43,"True.Tox",0.02,0.06,0.1,0.25,0.35
43,"True.Eff",0.05,0.1,0.35,0.36,0.37
43,"True.Utility",0.04,0.06,0.28,0.19,0.14
24,"True.Tox",0.01,0.03,0.06,0.1,0.25
24,"True.Eff",0.05,0.1,0.15,0.35,0.36
24,"True.Utility",0.04,0.08,0.11,0.28,0.19
54,"True.Tox",0.01,0.03,0.06,0.1,0.25
54,"True.Eff",0.05,0.1,0.15,0.35,0.36
54,"True.Utility",0.04,0.08,0.11,0.28,0.19
39,"True.Tox",0.02,0.06,0.18,0.25,0.35
39,"True.Eff",0.15,0.35,0.36,0.37,0.37
39,"True.Utility",0.14,0.31,0.24,0.2,0.14
28,"True.Tox",0.08,0.12,0.18,0.25,0.35
28,"True.Eff",0.38,0.38,0.39,0.4,0.4
28,"True.Utility",0.33,0.3,0.27,0.23,0.17
40,"True.Tox",0.05,0.08,0.15,0.18,0.25
40,"True.Eff",0.15,0.38,0.38,0.39,0.4
40,"True.Utility",0.12,0.33,0.28,0.27,0.23
33,"True.Tox",0.02,0.06,0.1,0.25,0.35
33,"True.Eff",0.05,0.1,0.35,0.36,0.37
33,"True.Utility",0.04,0.06,0.28,0.19,0.14
63,"True.Tox",0.02,0.06,0.1,0.25,0.35
63,"True.Eff",0.05,0.1,0.35,0.36,0.37
63,"True.Utility",0.04,0.06,0.28,0.19,0.14
29,"True.Tox",0.02,0.06,0.18,0.25,0.35
29,"True.Eff",0.15,0.35,0.36,0.37,0.37
29,"True.Utility",0.14,0.31,0.24,0.2,0.14
84,"True.Tox",0.01,0.03,0.06,0.1,0.25
84,"True.Eff",0.05,0.1,0.15,0.35,0.36
84,"True.Utility",0.04,0.08,0.11,0.28,0.19
49,"True.Tox",0.02,0.06,0.18,0.25,0.35
49,"True.Eff",0.15,0.35,0.36,0.37,0.37
49,"True.Utility",0.14,0.31,0.24,0.2,0.14
23,"True.Tox",0.02,0.06,0.1,0.25,0.35
23,"True.Eff",0.05,0.1,0.35,0.36,0.37
23,"True.Utility",0.04,0.06,0.28,0.19,0.14
48,"True.Tox",0.08,0.12,0.18,0.25,0.35
48,"True.Eff",0.38,0.38,0.39,0.4,0.4
48,"True.Utility",0.33,0.3,0.27,0.23,0.17
80,"True.Tox",0.05,0.08,0.15,0.18,0.25
80,"True.Eff",0.15,0.38,0.38,0.39,0.4
80,"True.Utility",0.12,0.33,0.28,0.27,0.23
13,"True.Tox",0.02,0.06,0.1,0.25,0.35
13,"True.Eff",0.05,0.1,0.35,0.36,0.37
13,"True.Utility",0.04,0.06,0.28,0.19,0.14
50,"True.Tox",0.05,0.08,0.15,0.18,0.25
50,"True.Eff",0.15,0.38,0.38,0.39,0.4
50,"True.Utility",0.12,0.33,0.28,0.27,0.23
8,"True.Tox",0.08,0.12,0.18,0.25,0.35
8,"True.Eff",0.38,0.38,0.39,0.4,0.4
8,"True.Utility",0.33,0.3,0.27,0.23,0.17
10,"True.Tox",0.05,0.08,0.15,0.18,0.25
10,"True.Eff",0.15,0.38,0.38,0.39,0.4
10,"True.Utility",0.12,0.33,0.28,0.27,0.23
9,"True.Tox",0.02,0.06,0.18,0.25,0.35
9,"True.Eff",0.15,0.35,0.36,0.37,0.37
9,"True.Utility",0.14,0.31,0.24,0.2,0.14
70,"True.Tox",0.05,0.08,0.15,0.18,0.25
70,"True.Eff",0.15,0.38,0.38,0.39,0.4
70,"True.Utility",0.12,0.33,0.28,0.27,0.23
73,"True.Tox",0.02,0.06,0.1,0.25,0.35
73,"True.Eff",0.05,0.1,0.35,0.36,0.37
73,"True.Utility",0.04,0.06,0.28,0.19,0.14
59,"True.Tox",0.02,0.06,0.18,0.25,0.35
59,"True.Eff",0.15,0.35,0.36,0.37,0.37
59,"True.Utility",0.14,0.31,0.24,0.2,0.14
221,"True.Tox",0.15,0.25,0.35,0.4,0.45
221,"True.Eff",0.35,0.35,0.36,0.37,0.37
221,"True.Utility",0.25,0.18,0.13,0.1,0.07
191,"True.Tox",0.15,0.25,0.35,0.4,0.45
191,"True.Eff",0.35,0.35,0.36,0.37,0.37
191,"True.Utility",0.25,0.18,0.13,0.1,0.07
69,"True.Tox",0.02,0.06,0.18,0.25,0.35
69,"True.Eff",0.15,0.35,0.36,0.37,0.37
69,"True.Utility",0.14,0.31,0.24,0.2,0.14
19,"True.Tox",0.02,0.06,0.18,0.25,0.35
19,"True.Eff",0.15,0.35,0.36,0.37,0.37
19,"True.Utility",0.14,0.31,0.24,0.2,0.14
83,"True.Tox",0.02,0.06,0.1,0.25,0.35
83,"True.Eff",0.05,0.1,0.35,0.36,0.37
83,"True.Utility",0.04,0.06,0.28,0.19,0.14
60,"True.Tox",0.05,0.08,0.15,0.18,0.25
60,"True.Eff",0.15,0.38,0.38,0.39,0.4
60,"True.Utility",0.12,0.33,0.28,0.27,0.23
18,"True.Tox",0.08,0.12,0.18,0.25,0.35
18,"True.Eff",0.38,0.38,0.39,0.4,0.4
18,"True.Utility",0.33,0.3,0.27,0.23,0.17
201,"True.Tox",0.15,0.25,0.35,0.4,0.45
201,"True.Eff",0.35,0.35,0.36,0.37,0.37
201,"True.Utility",0.25,0.18,0.13,0.1,0.07
58,"True.Tox",0.08,0.12,0.18,0.25,0.35
58,"True.Eff",0.38,0.38,0.39,0.4,0.4
58,"True.Utility",0.33,0.3,0.27,0.23,0.17
79,"True.Tox",0.02,0.06,0.18,0.25,0.35
79,"True.Eff",0.15,0.35,0.36,0.37,0.37
79,"True.Utility",0.14,0.31,0.24,0.2,0.14
68,"True.Tox",0.08,0.12,0.18,0.25,0.35
68,"True.Eff",0.38,0.38,0.39,0.4,0.4
68,"True.Utility",0.33,0.3,0.27,0.23,0.17
251,"True.Tox",0.15,0.25,0.35,0.4,0.45
251,"True.Eff",0.35,0.35,0.36,0.37,0.37
251,"True.Utility",0.25,0.18,0.13,0.1,0.07
88,"True.Tox",0.08,0.12,0.18,0.25,0.35
88,"True.Eff",0.38,0.38,0.39,0.4,0.4
88,"True.Utility",0.33,0.3,0.27,0.23,0.17
78,"True.Tox",0.08,0.12,0.18,0.25,0.35
78,"True.Eff",0.38,0.38,0.39,0.4,0.4
78,"True.Utility",0.33,0.3,0.27,0.23,0.17
89,"True.Tox",0.02,0.06,0.18,0.25,0.35
89,"True.Eff",0.15,0.35,0.36,0.37,0.37
89,"True.Utility",0.14,0.31,0.24,0.2,0.14
38,"True.Tox",0.08,0.12,0.18,0.25,0.35
38,"True.Eff",0.38,0.38,0.39,0.4,0.4
38,"True.Utility",0.33,0.3,0.27,0.23,0.17
95,"True.Tox",0.05,0.12,0.22,0.35,0.4
95,"True.Eff",0.1,0.15,0.38,0.38,0.4
95,"True.Utility",0.07,0.07,0.23,0.15,0.13
261,"True.Tox",0.15,0.25,0.35,0.4,0.45
261,"True.Eff",0.35,0.35,0.36,0.37,0.37
261,"True.Utility",0.25,0.18,0.13,0.1,0.07
90,"True.Tox",0.05,0.08,0.15,0.18,0.25
90,"True.Eff",0.15,0.38,0.38,0.39,0.4
90,"True.Utility",0.12,0.33,0.28,0.27,0.23
181,"True.Tox",0.15,0.25,0.35,0.4,0.45
181,"True.Eff",0.35,0.35,0.36,0.37,0.37
181,"True.Utility",0.25,0.18,0.13,0.1,0.07
231,"True.Tox",0.15,0.25,0.35,0.4,0.45
231,"True.Eff",0.35,0.35,0.36,0.37,0.37
231,"True.Utility",0.25,0.18,0.13,0.1,0.07
30,"True.Tox",0.05,0.08,0.15,0.18,0.25
30,"True.Eff",0.15,0.38,0.38,0.39,0.4
30,"True.Utility",0.12,0.33,0.28,0.27,0.23
135,"True.Tox",0.05,0.12,0.22,0.35,0.4
135,"True.Eff",0.1,0.15,0.38,0.38,0.4
135,"True.Utility",0.07,0.07,0.23,0.15,0.13
20,"True.Tox",0.05,0.08,0.15,0.18,0.25
20,"True.Eff",0.15,0.38,0.38,0.39,0.4
20,"True.Utility",0.12,0.33,0.28,0.27,0.23
175,"True.Tox",0.05,0.12,0.22,0.35,0.4
175,"True.Eff",0.1,0.15,0.38,0.38,0.4
175,"True.Utility",0.07,0.07,0.23,0.15,0.13
211,"True.Tox",0.15,0.25,0.35,0.4,0.45
211,"True.Eff",0.35,0.35,0.36,0.37,0.37
211,"True.Utility",0.25,0.18,0.13,0.1,0.07
145,"True.Tox",0.05,0.12,0.22,0.35,0.4
145,"True.Eff",0.1,0.15,0.38,0.38,0.4
145,"True.Utility",0.07,0.07,0.23,0.15,0.13
105,"True.Tox",0.05,0.12,0.22,0.35,0.4
105,"True.Eff",0.1,0.15,0.38,0.38,0.4
105,"True.Utility",0.07,0.07,0.23,0.15,0.13
112,"True.Tox",0.05,0.15,0.25,0.35,0.4
112,"True.Eff",0.15,0.35,0.36,0.37,0.37
112,"True.Utility",0.12,0.25,0.19,0.14,0.1
115,"True.Tox",0.05,0.12,0.22,0.35,0.4
115,"True.Eff",0.1,0.15,0.38,0.38,0.4
115,"True.Utility",0.07,0.07,0.23,0.15,0.13
241,"True.Tox",0.15,0.25,0.35,0.4,0.45
241,"True.Eff",0.35,0.35,0.36,0.37,0.37
241,"True.Utility",0.25,0.18,0.13,0.1,0.07
172,"True.Tox",0.05,0.15,0.25,0.35,0.4
172,"True.Eff",0.15,0.35,0.36,0.37,0.37
172,"True.Utility",0.12,0.25,0.19,0.14,0.1
125,"True.Tox",0.05,0.12,0.22,0.35,0.4
125,"True.Eff",0.1,0.15,0.38,0.38,0.4
125,"True.Utility",0.07,0.07,0.23,0.15,0.13
155,"True.Tox",0.05,0.12,0.22,0.35,0.4
155,"True.Eff",0.1,0.15,0.38,0.38,0.4
155,"True.Utility",0.07,0.07,0.23,0.15,0.13
132,"True.Tox",0.05,0.15,0.25,0.35,0.4
132,"True.Eff",0.15,0.35,0.36,0.37,0.37
132,"True.Utility",0.12,0.25,0.19,0.14,0.1
92,"True.Tox",0.05,0.15,0.25,0.35,0.4
92,"True.Eff",0.15,0.35,0.36,0.37,0.37
92,"True.Utility",0.12,0.25,0.19,0.14,0.1
142,"True.Tox",0.05,0.15,0.25,0.35,0.4
142,"True.Eff",0.15,0.35,0.36,0.37,0.37
142,"True.Utility",0.12,0.25,0.19,0.14,0.1
162,"True.Tox",0.05,0.15,0.25,0.35,0.4
162,"True.Eff",0.15,0.35,0.36,0.37,0.37
162,"True.Utility",0.12,0.25,0.19,0.14,0.1
165,"True.Tox",0.05,0.12,0.22,0.35,0.4
165,"True.Eff",0.1,0.15,0.38,0.38,0.4
165,"True.Utility",0.07,0.07,0.23,0.15,0.13
102,"True.Tox",0.05,0.15,0.25,0.35,0.4
102,"True.Eff",0.15,0.35,0.36,0.37,0.37
102,"True.Utility",0.12,0.25,0.19,0.14,0.1
94,"True.Tox",0.01,0.03,0.06,0.1,0.25
94,"True.Eff",0.05,0.1,0.15,0.35,0.36
94,"True.Utility",0.04,0.08,0.11,0.28,0.19
136,"True.Tox",0.02,0.06,0.1,0.22,0.35
136,"True.Eff",0.05,0.1,0.15,0.38,0.4
136,"True.Utility",0.04,0.06,0.08,0.23,0.17
122,"True.Tox",0.05,0.15,0.25,0.35,0.4
122,"True.Eff",0.15,0.35,0.36,0.37,0.37
122,"True.Utility",0.12,0.25,0.19,0.14,0.1
152,"True.Tox",0.05,0.15,0.25,0.35,0.4
152,"True.Eff",0.15,0.35,0.36,0.37,0.37
152,"True.Utility",0.12,0.25,0.19,0.14,0.1
176,"True.Tox",0.02,0.06,0.1,0.22,0.35
176,"True.Eff",0.05,0.1,0.15,0.38,0.4
176,"True.Utility",0.04,0.06,0.08,0.23,0.17
96,"True.Tox",0.02,0.06,0.1,0.22,0.35
96,"True.Eff",0.05,0.1,0.15,0.38,0.4
96,"True.Utility",0.04,0.06,0.08,0.23,0.17
116,"True.Tox",0.02,0.06,0.1,0.22,0.35
116,"True.Eff",0.05,0.1,0.15,0.38,0.4
116,"True.Utility",0.04,0.06,0.08,0.23,0.17
106,"True.Tox",0.02,0.06,0.1,0.22,0.35
106,"True.Eff",0.05,0.1,0.15,0.38,0.4
106,"True.Utility",0.04,0.06,0.08,0.23,0.17
146,"True.Tox",0.02,0.06,0.1,0.22,0.35
146,"True.Eff",0.05,0.1,0.15,0.38,0.4
146,"True.Utility",0.04,0.06,0.08,0.23,0.17
166,"True.Tox",0.02,0.06,0.1,0.22,0.35
166,"True.Eff",0.05,0.1,0.15,0.38,0.4
166,"True.Utility",0.04,0.06,0.08,0.23,0.17
104,"True.Tox",0.01,0.03,0.06,0.1,0.25
104,"True.Eff",0.05,0.1,0.15,0.35,0.36
104,"True.Utility",0.04,0.08,0.11,0.28,0.19
124,"True.Tox",0.01,0.03,0.06,0.1,0.25
124,"True.Eff",0.05,0.1,0.15,0.35,0.36
124,"True.Utility",0.04,0.08,0.11,0.28,0.19
127,"True.Tox",0.05,0.15,0.25,0.35,0.4
127,"True.Eff",0.35,0.35,0.36,0.37,0.37
127,"True.Utility",0.32,0.25,0.19,0.14,0.1
177,"True.Tox",0.05,0.15,0.25,0.35,0.4
177,"True.Eff",0.35,0.35,0.36,0.37,0.37
177,"True.Utility",0.32,0.25,0.19,0.14,0.1
126,"True.Tox",0.02,0.06,0.1,0.22,0.35
126,"True.Eff",0.05,0.1,0.15,0.38,0.4
126,"True.Utility",0.04,0.06,0.08,0.23,0.17
97,"True.Tox",0.05,0.15,0.25,0.35,0.4
97,"True.Eff",0.35,0.35,0.36,0.37,0.37
97,"True.Utility",0.32,0.25,0.19,0.14,0.1
134,"True.Tox",0.01,0.03,0.06,0.1,0.25
134,"True.Eff",0.05,0.1,0.15,0.35,0.36
134,"True.Utility",0.04,0.08,0.11,0.28,0.19
167,"True.Tox",0.05,0.15,0.25,0.35,0.4
167,"True.Eff",0.35,0.35,0.36,0.37,0.37
167,"True.Utility",0.32,0.25,0.19,0.14,0.1
147,"True.Tox",0.05,0.15,0.25,0.35,0.4
147,"True.Eff",0.35,0.35,0.36,0.37,0.37
147,"True.Utility",0.32,0.25,0.19,0.14,0.1
156,"True.Tox",0.02,0.06,0.1,0.22,0.35
156,"True.Eff",0.05,0.1,0.15,0.38,0.4
156,"True.Utility",0.04,0.06,0.08,0.23,0.17
235,"True.Tox",0.05,0.12,0.22,0.35,0.4
235,"True.Eff",0.1,0.15,0.38,0.38,0.4
235,"True.Utility",0.07,0.07,0.23,0.15,0.13
117,"True.Tox",0.05,0.15,0.25,0.35,0.4
117,"True.Eff",0.35,0.35,0.36,0.37,0.37
117,"True.Utility",0.32,0.25,0.19,0.14,0.1
154,"True.Tox",0.01,0.03,0.06,0.1,0.25
154,"True.Eff",0.05,0.1,0.15,0.35,0.36
154,"True.Utility",0.04,0.08,0.11,0.28,0.19
107,"True.Tox",0.05,0.15,0.25,0.35,0.4
107,"True.Eff",0.35,0.35,0.36,0.37,0.37
107,"True.Utility",0.32,0.25,0.19,0.14,0.1
93,"True.Tox",0.02,0.06,0.1,0.25,0.35
93,"True.Eff",0.05,0.1,0.35,0.36,0.37
93,"True.Utility",0.04,0.06,0.28,0.19,0.14
225,"True.Tox",0.05,0.12,0.22,0.35,0.4
225,"True.Eff",0.1,0.15,0.38,0.38,0.4
225,"True.Utility",0.07,0.07,0.23,0.15,0.13
205,"True.Tox",0.05,0.12,0.22,0.35,0.4
205,"True.Eff",0.1,0.15,0.38,0.38,0.4
205,"True.Utility",0.07,0.07,0.23,0.15,0.13
137,"True.Tox",0.05,0.15,0.25,0.35,0.4
137,"True.Eff",0.35,0.35,0.36,0.37,0.37
137,"True.Utility",0.32,0.25,0.19,0.14,0.1
265,"True.Tox",0.05,0.12,0.22,0.35,0.4
265,"True.Eff",0.1,0.15,0.38,0.38,0.4
265,"True.Utility",0.07,0.07,0.23,0.15,0.13
114,"True.Tox",0.01,0.03,0.06,0.1,0.25
114,"True.Eff",0.05,0.1,0.15,0.35,0.36
114,"True.Utility",0.04,0.08,0.11,0.28,0.19
195,"True.Tox",0.05,0.12,0.22,0.35,0.4
195,"True.Eff",0.1,0.15,0.38,0.38,0.4
195,"True.Utility",0.07,0.07,0.23,0.15,0.13
164,"True.Tox",0.01,0.03,0.06,0.1,0.25
164,"True.Eff",0.05,0.1,0.15,0.35,0.36
164,"True.Utility",0.04,0.08,0.11,0.28,0.19
255,"True.Tox",0.05,0.12,0.22,0.35,0.4
255,"True.Eff",0.1,0.15,0.38,0.38,0.4
255,"True.Utility",0.07,0.07,0.23,0.15,0.13
157,"True.Tox",0.05,0.15,0.25,0.35,0.4
157,"True.Eff",0.35,0.35,0.36,0.37,0.37
157,"True.Utility",0.32,0.25,0.19,0.14,0.1
185,"True.Tox",0.05,0.12,0.22,0.35,0.4
185,"True.Eff",0.1,0.15,0.38,0.38,0.4
185,"True.Utility",0.07,0.07,0.23,0.15,0.13
174,"True.Tox",0.01,0.03,0.06,0.1,0.25
174,"True.Eff",0.05,0.1,0.15,0.35,0.36
